Seed,FinalEntityCount,MaxEntityCount,StepsRun,ExecutionTime(ms),AverageAge,AverageEnergy,AvgSpeed,AvgMass,AvgEnergyEfficiency,AvgSightRange,AvgMetabolismRate,AvgReproductionThreshold,GRASSCount,MOUNTAINCount,FORESTCount,DESERTCount,TUNDRACount,SWAMPCount,OCEANCount,VOLCANICCount
-4457303491493646321,0,1,16,436,0,00,0,00,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,0,0,0,0,
-8180619166558021039,0,1,16,394,0,00,0,00,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,0,0,0,0,
4044670369959236517,0,2,135,1112,0,00,0,00,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,0,0,0,0,
-1641122120887325981,0,1,157,1115,0,00,0,00,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,0,0,0,0,
687577610278149002,0,2,261,1507,0,00,0,00,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,0,0,0,0,
-7423661940715885391,0,1,63,652,0,00,0,00,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,0,0,0,0,
1759548879562072576,0,2,265,1569,0,00,0,00,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,0,0,0,0,
-2516949294205992264,0,1,22,433,0,00,0,00,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,0,0,0,0,
3409333751632555527,0,1,19,434,0,00,0,00,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,0,0,0,0,
8426811652301027653,0,1,140,943,0,00,0,00,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,0,0,0,0,
4075407514674314188,0,1,46,575,0,00,0,00,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,0,0,0,0,
7965643057358177667,0,1,53,602,0,00,0,00,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,0,0,0,0,
-2166115964019189666,0,1,16,428,0,00,0,00,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,0,0,0,0,
-5692182025916863915,0,1,15,425,0,00,0,00,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,0,0,0,0,
341262026663904423,0,1,13,395,0,00,0,00,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,0,0,0,0,
1770967849788790373,0,4,186,1556,0,00,0,00,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,0,0,0,0,
7283307229707703193,0,4,321,1641,0,00,0,00,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,0,0,0,0,
-3102850143874789507,0,1,136,1005,0,00,0,00,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,0,0,0,0,
5725296428799670183,0,1,104,786,0,00,0,00,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,0,0,0,0,
545769684040679189,0,1,36,532,0,00,0,00,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,0,0,0,0,
-8065669805066046602,0,1,43,566,0,00,0,00,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,0,0,0,0,
9159247805626709036,0,1,15,415,0,00,0,00,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,0,0,0,0,
-4486651612594200108,0,1,30,487,0,00,0,00,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,0,0,0,0,
-1974233744793358757,0,3,363,1610,0,00,0,00,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,0,0,0,0,
1284909890197637352,0,1,15,403,0,00,0,00,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,0,0,0,0,
-1516678418302171610,0,1,26,496,0,00,0,00,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,0,0,0,0,
2880760169991482539,0,2,326,1586,0,00,0,00,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,0,0,0,0,
-7112500608022526315,0,1,12,383,0,00,0,00,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,0,0,0,0,
-4918690524274240362,0,1,264,1317,0,00,0,00,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,0,0,0,0,
-473746665819124733,0,1,20,398,0,00,0,00,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,0,0,0,0,
-6617466765993658211,0,1,30,484,0,00,0,00,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,0,0,0,0,
