Seed,FinalEntityCount,MaxEntityCount,StepsRun,ExecutionTime(ms),AverageAge,AverageEnergy,AvgSpeed,AvgMass,AvgEnergyEfficiency,AvgSightRange,AvgMetabolismRate,AvgReproductionThreshold,GRASSCount,MOUNTAINCount,FORESTCount,DESERTCount,TUNDRACount,SWAMPCount,OCEANCount,VOLCANICCount
-5754930806010769587,0,1,241,700,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
467295184927731625,0,1,24,37,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-1296644074261872541,0,3,320,1402,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
8201946607171327044,0,1,399,1374,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-646863384507983387,0,1,20,128,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-2111606035924343556,0,4,265,1436,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
3075738478294419704,0,1,42,7,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
6368767571630000934,0,1,40,137,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
8505572865425687224,0,1,66,328,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-6398796918441302171,0,1,112,141,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-5383989733729197188,0,1,137,181,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
4070795995800456343,0,2,250,1309,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
5127158553668910686,0,1,66,351,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-6546925153659271950,0,1,89,171,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-1906544492622913286,0,1,16,88,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-3259743506303859351,0,1,106,77,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
5880386974766370676,0,1,239,852,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
7988562881258697556,0,1,20,5,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
2408783148292439232,0,1,248,1238,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
6412302646922125391,0,1,88,719,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-362992029526916323,0,2,229,562,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-9160169869428187039,0,3,253,1282,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
1241020598731088097,0,1,21,179,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
2252363293387611744,0,1,69,143,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-5888131952932602500,0,1,28,223,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-2159889369205534060,0,1,135,225,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-6035697519879767370,0,1,52,200,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
9132082873301843867,0,1,150,100,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-4483228500209052101,0,3,276,578,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
3147474592569874827,0,1,109,105,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-7914965452438855848,0,1,17,172,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
4589225317018516317,0,1,43,55,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
3783654916376102151,0,1,14,123,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-2437595616764457336,0,1,72,552,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-1570446878478385112,0,1,53,127,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
5156852573470525676,0,1,167,1033,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-7566328912745390575,0,1,15,126,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-9161293126345939727,0,2,229,388,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
3359982622256197448,0,1,44,25,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
6276204397517682672,0,1,56,144,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
3667861162705493646,0,1,24,7,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-3421609753122600239,0,1,56,8,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-2289642300358314976,0,1,120,941,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
6614582159425526004,0,1,19,313,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
3388751524288088376,0,1,9,79,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
3018962191217482068,0,1,82,145,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
1936917772571717593,0,2,266,1336,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
3984888026182432234,0,1,386,137,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-121195055576263988,0,1,218,1229,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
8195691391944594767,0,1,77,699,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
7591849178255462885,0,1,10,57,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-1840159072564962652,0,1,12,87,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-2185309157025472886,0,3,313,1359,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-683398284011634763,0,1,185,1199,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
273987806942239861,0,1,93,110,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
