Step,EntityID,X,Y,Energy,Age,Speed,Mass,EnergyEfficiency,ReproductionThreshold,SightRange,MetabolismRate,MaxLifespan,BiomeType,HasFood\n251,E000,39,25,36.87,251,1.00,2.00,1.00,50.00,5.00,0.10,1000,MOUNTAIN,false
261,E000,37,25,42.54,261,1.00,2.00,1.00,50.00,5.00,0.10,1000,OCEAN,false
261,E001,37,23,26.73,155,1.00,2.00,1.00,50.00,5.00,0.10,1000,OCEAN,false
261,E002,35,12,24.92,85,1.00,2.00,1.00,50.00,5.00,0.10,1000,OCEAN,false
261,E003,48,23,10.44,32,1.00,2.00,1.00,50.00,5.00,0.10,1000,MOUNTAIN,false
261,E004,36,26,29.77,9,1.00,1.94,1.00,50.00,5.00,0.10,1000,MOUNTAIN,false
261,E005,41,17,23.69,4,1.00,2.00,1.00,50.00,5.00,0.10,1000,MOUNTAIN,true
262,E000,37,26,41.75,262,1.00,2.00,1.00,50.00,5.00,0.10,1000,MOUNTAIN,false
262,E001,37,22,26.49,156,1.00,2.00,1.00,50.00,5.00,0.10,1000,OCEAN,false
262,E002,35,11,23.77,86,1.00,2.00,1.00,50.00,5.00,0.10,1000,GRASS,false
262,E003,49,24,9.39,33,1.00,2.00,1.00,50.00,5.00,0.10,1000,MOUNTAIN,false
262,E004,36,27,29.00,10,1.00,1.94,1.00,50.00,5.00,0.10,1000,MOUNTAIN,false
262,E005,42,17,23.90,5,1.00,2.00,1.00,50.00,5.00,0.10,1000,MOUNTAIN,false
263,E000,37,27,40.96,263,1.00,2.00,1.00,50.00,5.00,0.10,1000,MOUNTAIN,false
263,E001,38,21,25.44,157,1.00,2.00,1.00,50.00,5.00,0.10,1000,MOUNTAIN,true
263,E002,35,10,23.42,87,1.00,2.00,1.00,50.00,5.00,0.10,1000,SWAMP,true
263,E003,48,23,8.33,34,1.00,2.00,1.00,50.00,5.00,0.10,1000,MOUNTAIN,false
263,E004,36,28,28.23,11,1.00,1.94,1.00,50.00,5.00,0.10,1000,MOUNTAIN,true
263,E005,43,17,23.11,6,1.00,2.00,1.00,50.00,5.00,0.10,1000,MOUNTAIN,false
264,E000,36,28,39.91,264,1.00,2.00,1.00,50.00,5.00,0.10,1000,MOUNTAIN,false
264,E001,39,21,25.65,158,1.00,2.00,1.00,50.00,5.00,0.10,1000,MOUNTAIN,false
264,E002,36,10,26.12,88,1.00,2.00,1.00,50.00,5.00,0.10,1000,VOLCANIC,false
264,E003,48,22,7.54,35,1.00,2.00,1.00,50.00,5.00,0.10,1000,MOUNTAIN,false
264,E004,37,28,28.46,12,1.00,1.94,1.00,50.00,5.00,0.10,1000,MOUNTAIN,false
264,E005,44,18,22.06,7,1.00,2.00,1.00,50.00,5.00,0.10,1000,MOUNTAIN,true
265,E000,37,28,39.12,265,1.00,2.00,1.00,50.00,5.00,0.10,1000,MOUNTAIN,false
265,E001,39,22,24.86,159,1.00,2.00,1.00,50.00,5.00,0.10,1000,MOUNTAIN,true
265,E002,35,10,25.58,89,1.00,2.00,1.00,50.00,5.00,0.10,1000,SWAMP,false
265,E003,48,21,6.75,36,1.00,2.00,1.00,50.00,5.00,0.10,1000,MOUNTAIN,false
265,E004,38,28,27.69,13,1.00,1.94,1.00,50.00,5.00,0.10,1000,MOUNTAIN,false
265,E005,45,18,22.27,8,1.00,2.00,1.00,50.00,5.00,0.10,1000,MOUNTAIN,false
266,E000,38,28,38.33,266,1.00,2.00,1.00,50.00,5.00,0.10,1000,MOUNTAIN,false
266,E001,40,22,25.07,160,1.00,2.00,1.00,50.00,5.00,0.10,1000,MOUNTAIN,false
266,E002,34,10,24.44,90,1.00,2.00,1.00,50.00,5.00,0.10,1000,GRASS,false
266,E003,48,22,5.96,37,1.00,2.00,1.00,50.00,5.00,0.10,1000,MOUNTAIN,false
266,E004,39,28,26.92,14,1.00,1.94,1.00,50.00,5.00,0.10,1000,MOUNTAIN,false
266,E005,44,19,21.21,9,1.00,2.00,1.00,50.00,5.00,0.10,1000,MOUNTAIN,false
267,E000,39,28,37.54,267,1.00,2.00,1.00,50.00,5.00,0.10,1000,MOUNTAIN,false
267,E001,41,21,23.50,161,1.00,2.00,1.00,50.00,5.00,0.10,1000,GRASS,true
267,E002,33,10,23.34,91,1.00,2.00,1.00,50.00,5.00,0.10,1000,GRASS,false
267,E003,49,23,4.91,38,1.00,2.00,1.00,50.00,5.00,0.10,1000,MOUNTAIN,false
267,E004,40,27,26.10,15,1.00,1.94,1.00,50.00,5.00,0.10,1000,DESERT,true
267,E005,43,20,20.16,10,1.00,2.00,1.00,50.00,5.00,0.10,1000,MOUNTAIN,true
268,E000,40,27,36.70,268,1.00,2.00,1.00,50.00,5.00,0.10,1000,DESERT,false
268,E001,42,21,24.76,162,1.00,2.00,1.00,50.00,5.00,0.10,1000,MOUNTAIN,false
268,E002,32,9,22.89,92,1.00,2.00,1.00,50.00,5.00,0.10,1000,SWAMP,true
268,E003,49,22,3.76,39,1.00,2.00,1.00,50.00,5.00,0.10,1000,GRASS,false
268,E004,41,27,25.95,16,1.00,1.94,1.00,50.00,5.00,0.10,1000,DESERT,false
268,E005,44,20,20.37,11,1.00,2.00,1.00,50.00,5.00,0.10,1000,MOUNTAIN,false
269,E000,40,28,35.88,269,1.00,2.00,1.00,50.00,5.00,0.10,1000,MOUNTAIN,false
269,E001,43,21,23.97,163,1.00,2.00,1.00,50.00,5.00,0.10,1000,MOUNTAIN,false
269,E002,33,9,25.50,93,1.00,2.00,1.00,50.00,5.00,0.10,1000,SWAMP,false
269,E003,48,23,2.75,40,1.00,2.00,1.00,50.00,5.00,0.10,1000,MOUNTAIN,false
269,E004,42,28,25.10,17,1.00,1.94,1.00,50.00,5.00,0.10,1000,DESERT,false
269,E005,45,20,19.58,12,1.00,2.00,1.00,50.00,5.00,0.10,1000,MOUNTAIN,false
270,E000,40,29,35.09,270,1.00,2.00,1.00,50.00,5.00,0.10,1000,MOUNTAIN,false
270,E001,42,21,23.18,164,1.00,2.00,1.00,50.00,5.00,0.10,1000,MOUNTAIN,false
270,E002,33,8,25.11,94,1.00,2.00,1.00,50.00,5.00,0.10,1000,SWAMP,false
270,E003,47,24,1.70,41,1.00,2.00,1.00,50.00,5.00,0.10,1000,MOUNTAIN,false
270,E004,43,29,24.25,18,1.00,1.94,1.00,50.00,5.00,0.10,1000,DESERT,true
270,E005,45,21,18.79,13,1.00,2.00,1.00,50.00,5.00,0.10,1000,MOUNTAIN,false
271,E000,41,30,34.03,271,1.00,2.00,1.00,50.00,5.00,0.10,1000,MOUNTAIN,true
271,E001,42,20,22.39,165,1.00,2.00,1.00,50.00,5.00,0.10,1000,MOUNTAIN,false
271,E002,33,7,24.72,95,1.00,2.00,1.00,50.00,5.00,0.10,1000,SWAMP,true
271,E003,44,29,24.09,19,1.00,1.94,1.00,50.00,5.00,0.10,1000,DESERT,false
271,E004,46,20,17.73,14,1.00,2.00,1.00,50.00,5.00,0.10,1000,MOUNTAIN,false
