Zeitschritt,X,Y,Umgebung,Anpassung,Effizienz,Mobilität,Energie,Alter,Lebendig,Kategorie,Datei
2000,1,16,OZEAN,0.5,2.0,2.0,177.77,95,1,same,ca_detail_1762512270723
2000,1,17,WALD,0.639,1.875,1.395,200.0,491,1,same,ca_detail_1762512270723
2000,1,18,SUMPF,0.5,2.0,2.0,200.0,74,1,same,ca_detail_1762512270723
2000,1,19,TUNDRA,0.5,2.0,1.774,41.54,75,1,same,ca_detail_1762512270723
2000,1,20,WÜSTE,0.609,1.765,2.0,37.91,9,1,same,ca_detail_1762512270723
2000,1,21,WALD,0.5,1.765,2.0,200.0,106,1,same,ca_detail_1762512270723
2000,1,22,WÜSTE,0.555,1.765,2.0,44.81,8,1,same,ca_detail_1762512270723
2000,1,23,TUNDRA,0.5,1.912,2.0,55.4,97,1,same,ca_detail_1762512270723
2000,1,24,TUNDRA,1.542,1.634,1.575,8.41,34,1,same,ca_detail_1762512270723
2000,1,25,SUMPF,1.542,1.526,1.449,112.47,95,1,same,ca_detail_1762512270723
2000,1,26,TUNDRA,1.542,2.0,1.277,88.93,34,1,same,ca_detail_1762512270723
2000,1,27,SUMPF,1.542,1.526,1.277,189.01,134,1,same,ca_detail_1762512270723
2000,1,28,TUNDRA,2.0,2.0,1.827,50.74,9,1,same,ca_detail_1762512270723
2000,1,29,VULKAN,1.866,1.869,1.827,14.9,10,1,same,ca_detail_1762512270723
2000,1,30,TUNDRA,0.554,2.0,2.0,77.0,273,1,same,ca_detail_1762512270723
2000,1,31,GEBIRGE,1.016,2.0,0.972,200.0,372,1,same,ca_detail_1762512270723
2000,1,32,OZEAN,1.054,2.0,1.966,200.0,146,1,same,ca_detail_1762512270723
2000,1,33,GRASLAND,0.912,1.506,1.786,122.4,11,1,same,ca_detail_1762512270723
2000,1,34,WALD,1.021,2.0,1.576,200.0,288,1,same,ca_detail_1762512270723
2000,1,35,GRASLAND,0.901,2.0,1.13,200.0,45,1,same,ca_detail_1762512270723
2000,1,36,OZEAN,0.547,1.46,1.13,165.84,69,1,same,ca_detail_1762512270723
2000,1,37,OZEAN,0.547,2.0,1.13,200.0,230,1,same,ca_detail_1762512270723
2000,1,38,TUNDRA,0.669,2.0,1.078,95.02,7,1,same,ca_detail_1762512270723
2000,1,39,OZEAN,0.536,2.0,1.13,200.0,112,1,same,ca_detail_1762512270723
2000,1,40,WÜSTE,2.0,2.0,1.733,59.97,21,1,same,ca_detail_1762512270723
2000,1,41,SUMPF,2.0,1.683,1.789,200.0,31,1,same,ca_detail_1762512270723
2000,1,42,WALD,1.087,2.0,0.528,200.0,688,1,same,ca_detail_1762512270723
2000,1,43,WÜSTE,2.0,2.0,2.0,72.67,15,1,same,ca_detail_1762512270723
2000,1,44,WALD,1.503,2.0,0.528,200.0,675,1,same,ca_detail_1762512270723
2000,1,45,VULKAN,2.0,2.0,2.0,84.98,2,1,same,ca_detail_1762512270723
2000,1,46,OZEAN,1.831,2.0,1.696,200.0,184,1,same,ca_detail_1762512270723
2000,1,47,TUNDRA,2.0,2.0,1.696,50.51,17,1,same,ca_detail_1762512270723
2000,1,48,TUNDRA,1.899,2.0,1.696,99.65,34,1,same,ca_detail_1762512270723
2000,1,49,GEBIRGE,1.136,1.632,0.573,3.35,288,1,same,ca_detail_1762512270723
2000,2,0,TUNDRA,0.591,1.853,1.581,76.0,20,1,same,ca_detail_1762512270723
2000,2,1,GRASLAND,0.5,1.12,1.876,105.16,108,1,same,ca_detail_1762512270723
2000,2,2,SUMPF,0.5,1.633,1.581,200.0,162,1,same,ca_detail_1762512270723
2000,2,3,OZEAN,0.647,1.524,0.755,200.0,513,1,same,ca_detail_1762512270723
2000,2,4,SUMPF,0.676,1.454,2.0,157.11,112,1,same,ca_detail_1762512270723
2000,2,5,SUMPF,1.589,2.0,1.93,200.0,86,1,same,ca_detail_1762512270723
2000,2,6,WÜSTE,1.419,2.0,1.93,53.65,11,1,same,ca_detail_1762512270723
2000,2,7,GRASLAND,1.073,2.0,1.414,200.0,600,1,same,ca_detail_1762512270723
2000,2,8,GEBIRGE,1.098,1.59,0.897,42.36,81,1,same,ca_detail_1762512270723
2000,2,9,WÜSTE,1.534,1.825,0.897,77.4,4,1,same,ca_detail_1762512270723
2000,2,10,WÜSTE,1.454,1.825,0.897,46.39,9,1,same,ca_detail_1762512270723
2000,2,11,WÜSTE,0.5,2.0,2.0,34.8,11,1,same,ca_detail_1762512270723
2000,2,12,OZEAN,0.5,2.0,2.0,119.35,111,1,same,ca_detail_1762512270723
2000,2,13,WALD,0.5,2.0,2.0,200.0,167,1,same,ca_detail_1762512270723
2000,2,14,OZEAN,0.5,2.0,2.0,155.53,40,1,same,ca_detail_1762512270723
2000,2,15,WÜSTE,0.545,2.0,1.969,25.6,12,1,same,ca_detail_1762512270723
2000,2,16,GEBIRGE,0.5,2.0,2.0,65.22,51,1,same,ca_detail_1762512270723
2000,2,17,TUNDRA,0.5,2.0,2.0,99.49,6,1,same,ca_detail_1762512270723
2000,2,18,WÜSTE,0.5,1.953,2.0,23.95,12,1,same,ca_detail_1762512270723
2000,2,19,GRASLAND,0.515,2.0,1.627,200.0,65,1,same,ca_detail_1762512270723
2000,2,20,SUMPF,0.5,1.478,2.0,155.99,110,1,same,ca_detail_1762512270723
2000,2,21,WALD,0.5,1.765,2.0,164.83,15,1,same,ca_detail_1762512270723
2000,2,22,VULKAN,0.5,1.854,2.0,11.45,10,1,same,ca_detail_1762512270723
2000,2,23,WÜSTE,0.609,2.0,2.0,19.4,13,1,same,ca_detail_1762512270723
2000,2,24,WALD,0.504,1.202,1.338,200.0,200,1,same,ca_detail_1762512270723
2000,2,25,WALD,0.5,1.746,2.0,200.0,265,1,same,ca_detail_1762512270723
2000,2,26,OZEAN,1.542,1.526,1.449,110.55,75,1,same,ca_detail_1762512270723
2000,2,27,WÜSTE,2.0,1.74,2.0,96.59,1,1,same,ca_detail_1762512270723
2000,2,28,SUMPF,1.542,1.526,1.277,119.78,48,1,same,ca_detail_1762512270723
2000,2,29,OZEAN,1.079,1.869,1.787,193.84,18,1,same,ca_detail_1762512270723
2000,2,30,TUNDRA,0.549,1.956,1.898,39.36,158,1,same,ca_detail_1762512270723
2000,2,31,SUMPF,0.759,2.0,1.966,200.0,201,1,same,ca_detail_1762512270723
2000,2,32,WÜSTE,0.912,1.506,1.234,61.43,5,1,same,ca_detail_1762512270723
2000,2,33,VULKAN,0.9,1.506,1.786,90.48,1,1,same,ca_detail_1762512270723
2000,2,34,GEBIRGE,1.021,2.0,1.576,200.0,398,1,same,ca_detail_1762512270723
2000,2,35,OZEAN,0.5,2.0,0.694,200.0,692,1,same,ca_detail_1762512270723
2000,2,36,SUMPF,0.547,1.46,1.449,200.0,169,1,same,ca_detail_1762512270723
2000,2,37,SUMPF,0.5,1.747,0.985,200.0,829,1,same,ca_detail_1762512270723
2000,2,38,WALD,0.674,1.215,1.13,150.0,22,1,same,ca_detail_1762512270723
2000,2,39,GRASLAND,1.348,2.0,0.649,200.0,772,1,same,ca_detail_1762512270723
2000,2,40,TUNDRA,0.716,2.0,1.13,3.9,148,1,same,ca_detail_1762512270723
2000,2,41,OZEAN,1.653,2.0,0.638,200.0,396,1,same,ca_detail_1762512270723
2000,2,42,GRASLAND,1.185,2.0,0.649,200.0,694,1,same,ca_detail_1762512270723
