Anpassung,Effizienz,Mobilität,Energie,Alter,Umgebung,Kategorie
0.515,2.0,1.627,200.0,65,GRASLAND,same
0.5,1.478,2.0,155.99,110,SUMPF,same
0.5,1.765,2.0,164.83,15,WALD,same
0.5,1.854,2.0,11.45,10,VULKAN,same
0.609,2.0,2.0,19.4,13,WÜSTE,same
0.504,1.202,1.338,200.0,200,WALD,same
0.5,1.746,2.0,200.0,265,WALD,same
1.542,1.526,1.449,110.55,75,OZEAN,same
2.0,1.74,2.0,96.59,1,WÜSTE,same
1.542,1.526,1.277,119.78,48,SUMPF,same
1.079,1.869,1.787,193.84,18,OZEAN,same
0.549,1.956,1.898,39.36,158,TUNDRA,same
0.759,2.0,1.966,200.0,201,SUMPF,same
0.912,1.506,1.234,61.43,5,WÜSTE,same
0.9,1.506,1.786,90.48,1,VULKAN,same
1.021,2.0,1.576,200.0,398,GEBIRGE,same
0.5,2.0,0.694,200.0,692,OZEAN,same
0.547,1.46,1.449,200.0,169,SUMPF,same
0.5,1.747,0.985,200.0,829,SUMPF,same
0.674,1.215,1.13,150.0,22,WALD,same
1.348,2.0,0.649,200.0,772,GRASLAND,same
0.716,2.0,1.13,3.9,148,TUNDRA,same
1.653,2.0,0.638,200.0,396,OZEAN,same
1.185,2.0,0.649,200.0,694,GRASLAND,same
1.503,2.0,0.636,200.0,309,SUMPF,same
1.503,2.0,0.584,200.0,451,GRASLAND,same
1.831,2.0,1.696,95.53,134,TUNDRA,same
2.0,1.796,1.133,73.27,15,TUNDRA,same
2.0,2.0,1.696,53.63,122,TUNDRA,same
2.0,2.0,1.612,140.64,4,SUMPF,same
1.831,2.0,1.696,6.84,156,WÜSTE,same
1.194,2.0,1.655,72.72,80,TUNDRA,same
0.5,1.12,1.876,93.21,1,TUNDRA,same
0.5,1.022,2.0,3.41,9,VULKAN,same
0.5,1.633,1.617,173.66,95,WALD,same
0.676,1.454,2.0,67.88,8,TUNDRA,same
1.589,2.0,1.544,200.0,211,OZEAN,same
1.819,2.0,1.93,194.06,46,SUMPF,same
1.909,1.857,1.319,11.95,10,VULKAN,same
1.098,1.825,0.897,159.11,105,OZEAN,same
0.903,2.0,1.414,200.0,353,SUMPF,same
1.098,1.825,0.897,82.19,2,VULKAN,same
0.5,2.0,1.351,64.06,92,TUNDRA,same
0.5,2.0,2.0,142.28,148,GEBIRGE,same
0.5,2.0,2.0,75.2,4,WÜSTE,same
0.5,2.0,1.442,57.0,5,VULKAN,same
0.5,1.456,1.597,4.05,36,GEBIRGE,same
0.5,2.0,1.481,200.0,507,GRASLAND,same
0.684,2.0,2.0,53.95,48,WÜSTE,same
0.5,2.0,2.0,200.0,336,OZEAN,same
0.602,2.0,1.627,69.0,5,WÜSTE,same
0.5,2.0,1.496,0.8,16,WÜSTE,same
0.5,1.765,2.0,5.75,47,VULKAN,same
0.5,1.765,2.0,90.98,1,VULKAN,same
0.5,0.992,1.14,74.55,48,WALD,same
0.543,1.698,1.715,21.86,11,WÜSTE,same
0.543,2.0,0.802,65.6,4,VULKAN,same
0.543,1.698,1.715,47.35,25,TUNDRA,same
1.542,1.526,1.449,51.11,7,WÜSTE,same
1.542,1.526,1.078,19.03,11,WÜSTE,same
0.709,1.564,2.0,200.0,600,OZEAN,same
0.5,2.0,2.0,31.8,11,WÜSTE,same
1.054,2.0,1.568,71.05,20,OZEAN,same
0.5,2.0,2.0,93.32,78,TUNDRA,same
0.655,2.0,0.683,200.0,1943,WALD,same
0.5,1.747,1.017,200.0,1064,GRASLAND,same
0.92,2.0,1.541,152.57,749,TUNDRA,same
1.223,2.0,1.086,200.0,344,SUMPF,same
0.674,1.215,1.13,100.0,0,VULKAN,same
1.348,2.0,0.649,200.0,680,WALD,same
0.536,2.0,1.13,2.2,144,VULKAN,same
1.944,2.0,0.638,200.0,458,OZEAN,same
0.885,2.0,0.5,93.8,1,WÜSTE,same
0.757,2.0,0.5,168.17,29,WALD,same
0.757,2.0,0.5,14.0,10,VULKAN,same
1.831,1.973,1.696,200.0,122,GRASLAND,same
1.831,2.0,1.696,113.15,156,WÜSTE,same
1.503,2.0,0.5,200.0,314,GRASLAND,same
1.038,2.0,0.5,200.0,541,SUMPF,same
0.816,2.0,0.655,200.0,346,GEBIRGE,same
1.831,2.0,1.696,186.84,170,WÜSTE,same
1.194,2.0,2.0,5.9,19,WÜSTE,same
