Anpassung,Effizienz,Mobilität,Energie,Alter,Umgebung,Kategorie
1.63,1.752,1.76,200.0,296,WALD,same
2.0,1.752,1.937,3.0,11,VULKAN,same
1.845,1.752,1.937,56.86,15,WÜSTE,same
1.51,2.0,0.518,181.0,99,GRASLAND,same
1.143,1.749,0.906,200.0,735,WALD,same
1.415,1.535,0.518,43.23,6,VULKAN,same
1.63,1.684,1.857,41.32,27,TUNDRA,same
1.63,1.684,2.0,62.76,7,WÜSTE,same
2.0,2.0,2.0,200.0,651,WALD,same
2.0,2.0,2.0,200.0,627,TUNDRA,same
1.327,2.0,1.238,200.0,318,OZEAN,same
1.133,2.0,1.238,200.0,337,SUMPF,same
1.491,2.0,2.0,9.76,23,WÜSTE,same
1.271,2.0,0.721,71.24,5,WÜSTE,same
1.271,2.0,0.721,142.15,110,OZEAN,same
1.271,2.0,0.721,200.0,75,OZEAN,same
1.271,2.0,0.721,130.34,41,GEBIRGE,same
1.007,2.0,0.721,200.0,10,WALD,same
1.541,2.0,1.667,134.61,765,WÜSTE,same
2.0,2.0,1.685,200.0,375,GRASLAND,same
1.84,1.951,1.291,74.54,3,VULKAN,same
2.0,1.68,1.685,120.83,57,GEBIRGE,same
1.153,1.486,1.719,54.7,197,TUNDRA,same
1.153,1.741,1.339,100.0,0,GEBIRGE,same
1.153,1.938,1.837,94.11,12,TUNDRA,same
0.945,1.565,1.719,200.0,211,GRASLAND,same
1.289,2.0,2.0,6.96,20,WÜSTE,same
1.895,1.77,0.839,81.99,2,VULKAN,same
1.09,1.555,2.0,200.0,512,SUMPF,same
1.289,2.0,2.0,200.0,237,SUMPF,same
0.916,1.794,1.924,129.37,113,SUMPF,same
0.916,1.794,2.0,55.39,9,GEBIRGE,same
1.446,2.0,0.784,174.2,428,VULKAN,same
1.051,2.0,0.575,97.6,437,WÜSTE,same
1.999,2.0,0.575,200.0,145,OZEAN,same
1.239,2.0,0.5,57.0,5,VULKAN,same
0.669,1.626,0.644,200.0,436,GRASLAND,same
2.0,1.374,1.921,200.0,213,SUMPF,same
1.502,1.902,2.0,96.17,846,TUNDRA,same
2.0,1.374,1.921,70.68,5,WÜSTE,same
1.727,2.0,2.0,55.39,145,TUNDRA,same
1.288,2.0,2.0,160.14,52,OZEAN,same
1.371,2.0,2.0,200.0,186,OZEAN,same
1.371,2.0,2.0,83.72,107,OZEAN,same
1.113,1.821,0.637,19.78,9,VULKAN,same
1.113,1.821,0.637,162.73,32,OZEAN,same
1.754,2.0,0.601,200.0,790,GRASLAND,same
1.492,2.0,1.582,200.0,896,OZEAN,same
1.107,2.0,1.582,200.0,734,GRASLAND,same
2.0,1.752,1.76,200.0,220,GRASLAND,same
1.845,1.752,1.76,200.0,173,WALD,same
1.998,1.752,1.947,63.06,24,TUNDRA,same
1.081,1.907,0.518,56.19,5,VULKAN,same
0.838,1.749,1.037,200.0,424,OZEAN,same
1.51,2.0,0.518,65.6,4,VULKAN,same
1.63,1.684,1.857,165.83,105,WALD,same
1.63,1.684,1.857,200.0,90,WALD,same
1.154,2.0,1.238,200.0,348,GRASLAND,same
2.0,2.0,1.903,200.0,816,TUNDRA,same
1.75,2.0,1.238,200.0,309,GEBIRGE,same
0.978,2.0,2.0,0.36,18,WÜSTE,same
1.327,2.0,1.049,200.0,314,WALD,same
1.491,2.0,1.764,191.4,124,VULKAN,same
1.271,2.0,0.721,59.73,7,WÜSTE,same
1.271,2.0,0.721,200.0,178,WALD,same
1.204,2.0,1.041,200.0,345,GEBIRGE,same
1.615,2.0,0.721,62.93,36,TUNDRA,same
2.0,2.0,1.685,200.0,438,SUMPF,same
1.602,2.0,0.729,150.32,246,WÜSTE,same
2.0,1.69,1.685,200.0,154,WALD,same
2.0,2.0,1.957,46.87,29,WÜSTE,same
2.0,2.0,0.5,200.0,603,GRASLAND,same
2.0,2.0,0.5,200.0,619,GRASLAND,same
1.91,2.0,1.443,178.0,427,SUMPF,same
1.153,1.859,1.719,141.51,87,SUMPF,same
1.153,2.0,1.719,82.8,2,VULKAN,same
1.031,2.0,0.584,200.0,880,WALD,same
1.289,2.0,2.0,200.0,91,SUMPF,same
1.508,2.0,2.0,200.0,81,GRASLAND,same
1.66,1.164,2.0,200.0,559,GRASLAND,same
0.916,1.63,1.924,191.33,46,WALD,same
0.916,1.794,1.926,79.35,39,GEBIRGE,same
0.916,1.794,2.0,63.8,5,WÜSTE,same
0.686,1.794,1.924,25.13,12,VULKAN,same
1.999,2.0,0.575,116.2,42,GEBIRGE,same
0.856,2.0,0.835,200.0,318,GEBIRGE,same
1.053,1.701,0.57,200.0,608,GRASLAND,same
0.669,1.626,0.644,200.0,363,WALD,same
1.883,1.374,1.921,36.49,10,WÜSTE,same
0.634,2.0,0.644,187.57,184,GEBIRGE,same
1.288,2.0,2.0,5.4,11,VULKAN,same
1.288,2.0,2.0,200.0,135,GRASLAND,same
1.288,2.0,2.0,93.98,39,SUMPF,same
1.288,2.0,2.0,65.6,4,VULKAN,same
1.371,2.0,2.0,14.0,10,VULKAN,same
1.122,1.821,0.907,190.07,99,OZEAN,same
0.957,1.828,0.683,200.0,1402,GEBIRGE,same
1.362,1.679,1.418,200.0,257,OZEAN,same
1.923,2.0,0.907,200.0,706,WALD,same
1.183,2.0,1.624,157.98,551,TUNDRA,same
1.143,1.749,0.906,200.0,540,WALD,same
1.143,1.749,0.642,200.0,554,WALD,same
1.651,1.752,1.947,200.0,40,WALD,same
0.838,1.749,1.1,200.0,258,WALD,same
0.838,1.749,1.1,200.0,256,WALD,same
1.63,1.684,1.857,117.53,88,GEBIRGE,same
1.63,1.365,1.909,90.17,1,VULKAN,same
1.938,1.684,1.273,60.02,9,WÜSTE,same
1.145,2.0,0.95,63.08,44,TUNDRA,same
1.924,2.0,1.238,200.0,274,WALD,same
1.591,1.886,2.0,200.0,630,GEBIRGE,same
1.327,2.0,1.049,200.0,229,GEBIRGE,same
2.0,2.0,0.833,200.0,468,WALD,same
1.204,1.695,0.766,122.16,268,GEBIRGE,same
0.919,1.529,1.475,5.26,10,VULKAN,same
1.49,2.0,2.0,197.58,379,TUNDRA,same
2.0,2.0,1.685,59.93,404,TUNDRA,same
0.826,2.0,1.282,200.0,858,GRASLAND,same
1.338,1.178,1.0,200.0,1927,WALD,same
2.0,1.963,1.685,200.0,237,SUMPF,same
2.0,2.0,2.0,61.74,21,WÜSTE,same
1.468,2.0,1.685,81.32,153,TUNDRA,same
1.468,2.0,1.685,200.0,254,GEBIRGE,same
0.945,1.565,1.719,84.46,208,WÜSTE,same
1.153,2.0,1.719,170.57,152,TUNDRA,same
2.0,2.0,0.786,200.0,488,GRASLAND,same
1.289,2.0,2.0,48.4,6,VULKAN,same
1.508,2.0,2.0,200.0,58,OZEAN,same
1.801,2.0,2.0,200.0,48,OZEAN,same
1.486,2.0,2.0,25.03,19,WÜSTE,same
1.226,1.63,1.924,98.15,31,GEBIRGE,same
0.772,1.63,1.924,72.18,3,VULKAN,same
0.63,1.287,1.924,19.91,8,VULKAN,same
1.502,2.0,1.25,200.0,628,OZEAN,same
1.563,2.0,2.0,50.24,843,TUNDRA,same
1.502,2.0,1.25,177.57,533,TUNDRA,same
0.732,2.0,0.607,200.0,313,SUMPF,same
1.053,1.701,0.57,200.0,581,OZEAN,same
0.801,2.0,1.053,48.4,45,VULKAN,same
1.288,1.816,1.897,200.0,132,GRASLAND,same
2.0,2.0,1.938,32.29,9,VULKAN,same
1.782,1.632,1.28,200.0,373,SUMPF,same
1.288,1.376,2.0,91.85,1,WÜSTE,same
1.371,2.0,1.265,200.0,655,GEBIRGE,same
1.258,2.0,0.5,200.0,148,WALD,same
1.122,1.821,0.647,59.63,6,WÜSTE,same
2.0,2.0,0.5,200.0,615,SUMPF,same
1.923,2.0,0.847,38.63,807,WÜSTE,same
1.258,2.0,0.5,200.0,535,OZEAN,same
1.689,1.752,1.947,180.03,17,SUMPF,same
1.286,1.752,1.947,94.74,118,GEBIRGE,same
0.594,1.645,1.037,200.0,420,WALD,same
0.747,2.0,1.383,36.03,165,TUNDRA,same
1.12,2.0,1.02,200.0,223,WALD,same
1.63,1.684,1.857,68.94,17,SUMPF,same
0.838,1.749,1.1,200.0,226,WALD,same
1.133,1.646,1.358,2.24,292,GEBIRGE,same
1.145,1.978,0.95,200.0,126,OZEAN,same
1.117,1.978,0.95,200.0,30,SUMPF,same
1.0,1.171,0.717,200.0,1944,SUMPF,same
1.327,2.0,1.049,200.0,203,OZEAN,same
1.204,1.695,0.625,200.0,261,SUMPF,same
1.444,2.0,1.694,53.76,11,WÜSTE,same
1.444,2.0,1.694,118.59,20,GEBIRGE,same
1.444,2.0,1.932,200.0,29,GRASLAND,same
1.444,2.0,2.0,200.0,188,SUMPF,same
1.531,2.0,2.0,98.96,185,TUNDRA,same
2.0,2.0,1.685,200.0,286,OZEAN,same
2.0,2.0,1.754,200.0,508,GEBIRGE,same
2.0,2.0,1.918,63.16,20,WÜSTE,same
2.0,1.69,2.0,200.0,80,GRASLAND,same
1.899,2.0,1.685,98.69,85,TUNDRA,same
1.232,1.869,1.317,200.0,369,WALD,same
1.174,1.869,1.317,200.0,357,WALD,same
1.499,1.743,1.312,200.0,495,OZEAN,same
0.911,2.0,2.0,60.18,7,WÜSTE,same
1.343,1.062,1.161,200.0,1010,GRASLAND,same
1.343,1.062,1.161,200.0,981,GRASLAND,same
1.289,2.0,2.0,200.0,259,GEBIRGE,same
1.09,2.0,2.0,21.43,295,WÜSTE,same
0.916,1.63,1.924,85.91,33,OZEAN,same
0.94,1.794,2.0,200.0,184,SUMPF,same
1.502,2.0,1.507,4.48,458,TUNDRA,same
0.94,2.0,2.0,160.53,49,GEBIRGE,same
1.172,2.0,1.005,200.0,255,SUMPF,same
0.732,2.0,0.607,200.0,302,GRASLAND,same
0.62,2.0,1.327,189.77,5,WALD,same
0.801,1.211,0.908,12.54,10,WÜSTE,same
2.0,2.0,0.967,76.72,9,WÜSTE,same
1.009,1.707,0.526,200.0,1534,GEBIRGE,same
1.644,2.0,1.938,200.0,120,GRASLAND,same
1.644,2.0,2.0,52.08,123,VULKAN,same
1.288,2.0,2.0,92.18,5,GEBIRGE,same
1.258,2.0,0.5,40.02,47,TUNDRA,same
1.058,2.0,0.5,91.4,1,VULKAN,same
1.371,2.0,1.418,4.32,338,TUNDRA,same
1.954,2.0,0.793,200.0,736,GRASLAND,same
0.875,1.441,1.395,200.0,189,WALD,same
0.762,1.917,1.395,84.03,229,WÜSTE,same
1.689,1.752,1.541,72.45,11,GEBIRGE,same
1.072,1.872,1.012,200.0,1030,SUMPF,same
0.649,2.0,1.409,200.0,546,OZEAN,same
1.406,1.872,0.711,200.0,1057,GEBIRGE,same
1.12,2.0,1.02,200.0,217,WALD,same
1.63,1.684,1.857,90.83,1,VULKAN,same
1.918,1.684,1.856,35.83,7,VULKAN,same
1.145,1.978,0.95,55.57,41,GEBIRGE,same
0.5,1.961,1.421,167.3,106,WALD,same
1.145,1.394,0.95,12.15,9,VULKAN,same
1.13,2.0,1.154,200.0,1823,SUMPF,same
0.801,1.978,1.235,84.04,24,TUNDRA,same
1.003,2.0,1.049,200.0,180,OZEAN,same
1.604,2.0,1.512,114.56,965,VULKAN,same
1.444,1.331,1.932,78.68,9,GEBIRGE,same
1.444,2.0,1.932,182.4,102,GRASLAND,same
1.444,2.0,2.0,95.85,207,TUNDRA,same
1.444,2.0,2.0,200.0,99,OZEAN,same
0.892,2.0,2.0,95.21,67,TUNDRA,same
1.444,2.0,1.909,200.0,85,OZEAN,same
2.0,2.0,1.685,66.99,228,WÜSTE,same
1.751,2.0,1.685,74.31,320,TUNDRA,same
1.232,1.869,1.317,200.0,463,SUMPF,same
1.899,2.0,1.685,200.0,150,GRASLAND,same
1.899,2.0,1.685,150.0,53,WALD,same
1.071,1.869,1.317,200.0,299,OZEAN,same
1.071,1.869,1.804,154.8,131,GEBIRGE,same
1.281,1.062,1.161,200.0,1015,WALD,same
1.232,1.78,1.128,200.0,1935,OZEAN,same
0.636,1.487,1.161,200.0,699,OZEAN,same
1.66,2.0,1.638,200.0,653,GEBIRGE,same
0.916,1.63,1.924,89.79,13,GEBIRGE,same
0.94,1.794,2.0,200.0,165,GRASLAND,same
0.94,1.917,2.0,200.0,151,SUMPF,same
0.94,1.947,2.0,131.32,28,GRASLAND,same
1.212,2.0,0.778,200.0,510,WALD,same
0.801,2.0,1.005,200.0,141,GRASLAND,same
0.688,2.0,0.5,200.0,292,GEBIRGE,same
0.801,2.0,1.053,48.4,6,VULKAN,same
1.893,0.945,1.943,147.41,137,OZEAN,same
2.0,2.0,1.31,200.0,117,GRASLAND,same
1.644,2.0,1.938,56.7,13,WÜSTE,same
1.644,1.244,1.938,99.86,16,OZEAN,same
2.0,1.82,1.216,189.88,408,WÜSTE,same
1.258,2.0,0.5,200.0,185,OZEAN,same
0.836,2.0,0.5,166.2,60,GRASLAND,same
2.0,1.524,1.125,200.0,732,GEBIRGE,same
1.258,2.0,0.5,200.0,496,OZEAN,same
0.532,1.655,1.395,136.0,176,GEBIRGE,same
1.778,1.752,1.541,95.55,1,WÜSTE,same
1.286,1.752,1.947,6.03,39,WÜSTE,same
1.286,2.0,2.0,51.31,44,TUNDRA,same
0.669,2.0,1.555,148.74,199,GEBIRGE,same
0.655,1.376,1.395,200.0,14,WALD,same
0.566,2.0,1.409,200.0,450,GRASLAND,same
0.5,2.0,1.194,0.8,16,WÜSTE,same
0.681,2.0,1.409,200.0,351,WALD,same
1.145,2.0,1.202,88.83,2,WÜSTE,same
1.145,1.978,0.95,181.1,68,GEBIRGE,same
0.5,1.961,1.425,91.33,1,VULKAN,same
1.145,1.978,0.95,116.18,43,SUMPF,same
0.907,1.978,1.221,56.81,5,VULKAN,same
1.003,2.0,1.049,200.0,158,GRASLAND,same
0.89,1.826,1.696,159.46,892,TUNDRA,same
1.217,2.0,1.946,200.0,389,OZEAN,same
1.444,2.0,1.932,82.8,2,VULKAN,same
1.444,2.0,1.932,39.8,7,VULKAN,same
0.72,2.0,0.888,200.0,549,SUMPF,same
1.077,2.0,1.492,31.2,8,VULKAN,same
1.444,2.0,1.587,5.4,11,VULKAN,same
2.0,2.0,1.773,200.0,221,GEBIRGE,same
1.698,2.0,1.678,195.21,1428,TUNDRA,same
1.899,2.0,1.685,200.0,58,GEBIRGE,same
1.899,2.0,1.685,100.0,0,VULKAN,same
1.071,1.869,1.804,18.57,85,TUNDRA,same
1.899,2.0,1.023,41.22,20,WÜSTE,same
1.071,1.869,1.804,200.0,219,GRASLAND,same
0.636,1.368,1.161,200.0,866,SUMPF,same
1.232,1.78,1.128,200.0,1929,WALD,same
1.232,1.78,1.128,200.0,1928,OZEAN,same
0.995,2.0,0.835,200.0,1930,GRASLAND,same
2.0,2.0,1.638,200.0,605,SUMPF,same
0.94,1.794,2.0,77.5,130,WÜSTE,same
0.94,1.789,2.0,100.0,0,GEBIRGE,same
0.94,1.947,2.0,82.62,2,VULKAN,same
1.789,2.0,1.21,200.0,1431,GRASLAND,same
1.1,2.0,0.863,200.0,1916,WALD,same
0.699,1.414,1.181,200.0,1798,SUMPF,same
2.0,2.0,1.909,200.0,853,WALD,same
1.76,2.0,1.31,67.92,10,WÜSTE,same
2.0,2.0,1.28,166.2,49,GRASLAND,same
2.0,2.0,1.31,91.2,4,WÜSTE,same
0.961,2.0,2.0,200.0,370,SUMPF,same
1.521,1.298,1.938,11.1,48,TUNDRA,same
0.836,2.0,0.5,25.6,12,WÜSTE,same
1.258,2.0,0.5,200.0,264,OZEAN,same
1.371,2.0,1.418,200.0,399,OZEAN,same
1.258,2.0,0.5,200.0,376,GEBIRGE,same
1.894,2.0,1.389,69.43,219,WÜSTE,same
0.738,1.956,1.132,6.62,619,TUNDRA,same
0.669,2.0,1.555,98.27,232,TUNDRA,same
1.286,1.542,2.0,73.96,37,OZEAN,same
0.655,1.655,1.395,104.65,77,SUMPF,same
0.669,2.0,1.555,68.34,122,TUNDRA,same
0.649,1.723,1.409,191.03,574,GEBIRGE,same
1.188,1.354,0.631,200.0,1955,SUMPF,same
0.5,2.0,1.194,200.0,108,WALD,same
0.566,2.0,1.409,200.0,398,OZEAN,same
2.0,1.917,2.0,151.62,963,WÜSTE,same
1.136,2.0,1.84,25.07,326,WÜSTE,same
1.145,1.978,1.027,148.92,19,GEBIRGE,same
0.68,1.875,1.696,200.0,969,GRASLAND,same
0.926,1.978,1.153,48.18,6,VULKAN,same
0.783,2.0,1.946,200.0,307,WALD,same
0.62,2.0,1.037,200.0,989,GRASLAND,same
1.444,2.0,2.0,163.64,49,SUMPF,same
1.444,2.0,2.0,200.0,198,OZEAN,same
1.317,2.0,0.542,200.0,1470,GEBIRGE,same
0.573,1.525,0.524,200.0,353,GRASLAND,same
1.444,2.0,2.0,13.86,21,WÜSTE,same
1.006,1.653,0.848,163.79,676,WÜSTE,same
1.232,1.869,1.229,200.0,320,OZEAN,same
1.771,2.0,0.77,200.0,1955,WALD,same
2.0,2.0,0.523,200.0,1760,GRASLAND,same
1.232,1.869,1.317,200.0,356,GEBIRGE,same
1.071,1.869,1.804,200.0,183,GEBIRGE,same
0.982,2.0,2.0,163.67,728,TUNDRA,same
1.271,2.0,1.172,200.0,1939,GEBIRGE,same
0.584,2.0,1.172,200.0,965,SUMPF,same
1.629,1.779,1.128,200.0,1931,GRASLAND,same
0.5,1.651,1.882,200.0,772,OZEAN,same
0.5,1.552,1.218,84.92,91,WÜSTE,same
0.5,1.552,1.218,85.19,9,GEBIRGE,same
1.66,2.0,1.348,107.94,614,WÜSTE,same
0.987,2.0,1.851,200.0,300,GEBIRGE,same
0.763,2.0,2.0,57.02,22,TUNDRA,same
1.107,2.0,0.778,72.0,8,TUNDRA,same
1.499,2.0,1.033,200.0,162,SUMPF,same
2.0,2.0,1.644,116.2,1,GRASLAND,same
2.0,2.0,1.253,200.0,255,WALD,same
2.0,2.0,1.564,56.11,22,WÜSTE,same
1.736,1.927,1.803,200.0,578,SUMPF,same
1.249,2.0,2.0,91.4,1,VULKAN,same
0.842,2.0,0.849,200.0,1484,OZEAN,same
1.394,1.975,1.387,200.0,768,GEBIRGE,same
0.735,1.953,0.517,200.0,1797,GRASLAND,same
1.258,2.0,0.5,200.0,404,OZEAN,same
0.626,2.0,1.497,53.99,263,TUNDRA,same
0.5,1.956,1.52,200.0,560,GRASLAND,same
0.626,2.0,1.497,174.76,372,TUNDRA,same
1.286,1.757,1.693,81.29,3,WÜSTE,same
1.286,1.542,2.0,90.55,1,VULKAN,same
0.671,1.655,1.269,42.1,8,WÜSTE,same
0.649,2.0,1.409,100.8,441,WÜSTE,same
0.566,2.0,1.409,200.0,315,GRASLAND,same
0.645,2.0,1.379,22.6,9,VULKAN,same
0.698,2.0,1.634,139.43,20,OZEAN,same
0.576,2.0,1.634,100.0,0,WÜSTE,same
1.641,2.0,1.333,200.0,269,GEBIRGE,same
1.065,2.0,1.783,200.0,759,WALD,same
0.989,2.0,1.84,200.0,371,OZEAN,same
1.641,2.0,1.479,200.0,423,SUMPF,same
1.641,2.0,1.479,85.55,468,WÜSTE,same
0.783,2.0,1.946,200.0,198,OZEAN,same
1.444,2.0,2.0,83.59,4,WÜSTE,same
1.331,2.0,2.0,42.8,7,VULKAN,same
0.688,2.0,1.754,200.0,660,WALD,same
0.781,1.967,0.672,200.0,356,WALD,same
0.678,1.515,0.672,200.0,150,GRASLAND,same
0.678,1.401,1.101,200.0,898,SUMPF,same
2.0,2.0,0.638,200.0,1936,GEBIRGE,same
0.912,1.993,2.0,200.0,1270,SUMPF,same
0.982,2.0,2.0,200.0,780,OZEAN,same
0.861,1.683,1.74,26.65,8,VULKAN,same
1.531,2.0,2.0,199.95,1294,TUNDRA,same
1.045,2.0,0.806,200.0,1942,WALD,same
0.943,1.459,2.0,200.0,1425,OZEAN,same
1.075,1.779,0.963,200.0,494,SUMPF,same
1.395,2.0,0.963,200.0,282,GRASLAND,same
0.905,2.0,0.924,200.0,31,SUMPF,same
1.374,2.0,0.963,200.0,154,GRASLAND,same
1.527,2.0,0.811,13.87,19,WÜSTE,same
1.846,2.0,0.811,15.62,17,VULKAN,same
1.379,2.0,0.6,89.01,2,WÜSTE,same
1.379,2.0,0.6,143.45,16,SUMPF,same
1.379,2.0,0.5,200.0,80,SUMPF,same
1.586,2.0,0.5,200.0,134,GRASLAND,same
1.586,0.894,0.5,44.18,5,VULKAN,same
1.567,2.0,1.574,99.67,2,TUNDRA,same
1.891,2.0,1.588,43.66,94,WÜSTE,same
1.89,2.0,1.758,51.04,77,TUNDRA,same
1.89,2.0,1.362,84.34,6,WÜSTE,same
1.89,2.0,1.758,119.75,106,SUMPF,same
1.89,2.0,1.758,100.7,52,TUNDRA,same
1.312,2.0,0.808,200.0,323,OZEAN,same
1.103,2.0,0.812,184.44,159,OZEAN,same
1.635,2.0,1.761,158.26,679,VULKAN,same
0.889,2.0,1.07,14.0,10,VULKAN,same
1.158,1.5,1.466,200.0,380,WALD,same
0.889,2.0,1.316,88.5,26,TUNDRA,same
1.064,2.0,1.819,94.88,46,TUNDRA,same
1.064,1.611,1.965,69.93,13,SUMPF,same
0.947,0.971,1.965,12.83,8,VULKAN,same
1.064,2.0,1.678,86.03,82,TUNDRA,same
0.608,2.0,1.503,200.0,288,OZEAN,same
0.728,2.0,0.957,150.0,35,WALD,same
0.608,2.0,1.503,200.0,160,WALD,same
0.608,2.0,1.621,200.0,682,GEBIRGE,same
1.023,2.0,2.0,67.44,6,WÜSTE,same
1.023,2.0,2.0,200.0,82,WALD,same
1.023,2.0,2.0,13.16,16,WÜSTE,same
0.965,2.0,1.765,177.65,49,OZEAN,same
0.965,2.0,1.163,51.21,8,WÜSTE,same
2.0,2.0,1.279,200.0,192,WALD,same
1.741,2.0,1.279,200.0,67,WALD,same
0.916,2.0,1.279,89.23,86,GEBIRGE,same
1.142,2.0,1.279,22.79,14,WÜSTE,same
1.524,1.978,0.752,200.0,101,OZEAN,same
1.404,1.749,0.926,200.0,719,SUMPF,same
1.313,2.0,0.585,200.0,210,GEBIRGE,same
1.56,2.0,0.5,200.0,26,GRASLAND,same
1.313,2.0,0.837,200.0,355,GEBIRGE,same
0.7,1.878,0.74,200.0,480,GRASLAND,same
0.5,1.259,0.74,88.96,33,OZEAN,same
0.5,1.98,0.74,89.18,30,OZEAN,same
0.5,1.765,0.74,200.0,156,GRASLAND,same
0.5,1.98,0.74,93.74,1,WÜSTE,same
0.905,2.0,0.924,75.2,4,WÜSTE,same
0.905,2.0,0.924,200.0,52,WALD,same
1.374,2.0,0.924,200.0,147,OZEAN,same
1.374,2.0,0.811,200.0,144,GRASLAND,same
1.527,2.0,0.811,92.39,8,TUNDRA,same
1.083,1.661,0.634,200.0,197,OZEAN,same
1.626,2.0,0.795,31.2,8,VULKAN,same
1.379,2.0,0.5,150.0,76,GRASLAND,same
0.85,2.0,0.5,200.0,264,SUMPF,same
1.586,2.0,0.5,200.0,139,GEBIRGE,same
1.199,2.0,1.616,98.85,6,TUNDRA,same
1.586,1.342,0.5,79.22,87,OZEAN,same
1.196,2.0,1.588,23.42,15,WÜSTE,same
1.567,2.0,1.588,200.0,170,WALD,same
1.89,1.979,1.758,44.57,7,VULKAN,same
1.89,2.0,1.758,200.0,32,GEBIRGE,same
2.0,2.0,1.125,200.0,352,OZEAN,same
1.312,1.911,0.808,200.0,241,SUMPF,same
0.938,2.0,1.812,99.63,3,TUNDRA,same
0.889,2.0,1.316,14.53,14,WÜSTE,same
0.889,2.0,1.316,168.4,73,WALD,same
1.153,2.0,1.316,72.76,5,WÜSTE,same
1.064,2.0,1.521,88.73,43,TUNDRA,same
1.064,2.0,1.678,200.0,86,SUMPF,same
0.639,2.0,1.008,34.66,82,TUNDRA,same
0.659,2.0,0.957,200.0,95,SUMPF,same
0.673,2.0,0.992,30.74,85,TUNDRA,same
0.728,2.0,0.957,100.0,0,VULKAN,same
0.608,2.0,1.503,129.98,437,TUNDRA,same
0.74,2.0,1.92,75.84,98,GEBIRGE,same
1.023,2.0,2.0,200.0,395,OZEAN,same
1.023,2.0,2.0,181.0,85,GRASLAND,same
1.023,2.0,2.0,200.0,165,WALD,same
1.443,2.0,1.806,200.0,780,GRASLAND,same
2.0,1.917,1.193,200.0,207,OZEAN,same
1.283,2.0,1.279,200.0,161,OZEAN,same
1.283,2.0,1.279,47.54,117,TUNDRA,same
1.313,1.774,1.247,200.0,611,OZEAN,same
1.524,1.978,0.957,43.65,12,WÜSTE,same
1.819,1.614,0.752,200.0,154,SUMPF,same
1.56,2.0,0.585,200.0,110,WALD,same
1.56,2.0,0.5,41.37,12,WÜSTE,same
1.313,2.0,0.585,200.0,194,WALD,same
1.018,1.758,2.0,0.7,11,VULKAN,same
0.64,1.798,0.74,200.0,194,OZEAN,same
0.579,1.625,0.5,49.22,13,TUNDRA,same
0.5,2.0,0.74,76.75,21,TUNDRA,same
0.579,1.765,0.74,91.03,30,GEBIRGE,same
1.204,1.779,0.806,60.84,470,TUNDRA,same
1.374,1.376,0.924,129.26,87,GRASLAND,same
1.374,2.0,0.924,200.0,131,SUMPF,same
1.065,1.661,0.634,200.0,342,OZEAN,same
1.527,2.0,0.811,200.0,124,SUMPF,same
1.327,2.0,0.5,200.0,475,SUMPF,same
1.379,2.0,0.5,100.0,0,WÜSTE,same
0.744,2.0,0.5,200.0,208,GRASLAND,same
1.379,1.337,0.549,41.15,24,GEBIRGE,same
1.068,2.0,0.5,156.4,409,WÜSTE,same
1.199,2.0,1.616,29.61,20,WÜSTE,same
2.0,2.0,1.058,1.87,451,WÜSTE,same
1.275,2.0,1.058,200.0,450,OZEAN,same
1.904,2.0,1.028,120.21,1,WALD,same
1.567,2.0,1.391,200.0,199,OZEAN,same
1.567,2.0,1.758,80.93,112,WÜSTE,same
1.724,2.0,1.439,200.0,626,GEBIRGE,same
1.747,1.763,0.722,109.82,1246,TUNDRA,same
2.0,2.0,0.808,200.0,328,WÜSTE,same
1.312,1.911,0.808,200.0,200,GRASLAND,same
0.889,2.0,1.812,94.4,36,SUMPF,same
0.889,2.0,1.88,200.0,77,WALD,same
1.168,2.0,1.316,91.4,1,VULKAN,same
0.898,2.0,1.88,47.73,114,WÜSTE,same
1.064,2.0,1.678,200.0,147,WALD,same
1.557,2.0,1.391,200.0,576,WALD,same
0.659,2.0,0.957,80.5,90,OZEAN,same
0.659,1.852,0.787,7.1,14,WÜSTE,same
0.608,2.0,0.957,173.65,115,SUMPF,same
0.608,2.0,1.621,200.0,446,OZEAN,same
0.608,2.0,1.503,1.06,384,TUNDRA,same
0.74,2.0,1.92,164.06,8,SUMPF,same
1.067,2.0,2.0,73.43,5,WÜSTE,same
1.023,1.269,1.839,79.89,2,VULKAN,same
0.64,2.0,2.0,200.0,290,GEBIRGE,same
1.023,2.0,2.0,200.0,50,OZEAN,same
1.443,2.0,1.806,200.0,814,SUMPF,same
2.0,2.0,1.193,200.0,156,SUMPF,same
1.591,1.679,1.298,200.0,137,WALD,same
1.446,2.0,0.746,200.0,291,GRASLAND,same
1.819,2.0,0.752,41.39,62,TUNDRA,same
1.313,2.0,0.746,200.0,319,OZEAN,same
1.56,2.0,0.585,200.0,13,GRASLAND,same
0.688,1.878,0.74,200.0,454,SUMPF,same
1.313,1.542,0.582,200.0,186,GRASLAND,same
1.396,2.0,0.963,180.11,401,TUNDRA,same
1.615,2.0,2.0,50.15,14,TUNDRA,same
1.396,2.0,0.963,48.26,323,TUNDRA,same
0.579,1.765,0.74,130.25,79,SUMPF,same
1.621,2.0,0.999,0.36,201,WÜSTE,same
2.0,2.0,0.999,2.42,169,TUNDRA,same
1.374,1.589,0.924,88.86,3,TUNDRA,same
1.916,1.723,0.924,100.0,0,VULKAN,same
