Zeitschritt,X,Y,Umgebung,Anpassung,Effizienz,Mobilität,Energie,Alter,Lebendig,Kategorie,Datei
2000,48,43,OZEAN,0.517,2.0,1.43,200.0,1813,1,same,ca_detail_1762512270723
400,9,34,WÜSTE,1.002,1.483,1.44,84.42,2,1,steps,ca_detail_1762512748570
2000,13,10,SUMPF,0.687,2.0,0.852,200.0,316,1,population,ca_detail_1762512974066-pop1
2000,49,7,VULKAN,0.864,2.0,1.307,159.09,146,1,seed,ca_detail_1762512570763
2000,48,35,WALD,1.55,2.0,1.555,200.0,476,1,steps,ca_detail_1762512849242
2000,21,10,GRASLAND,1.789,1.929,1.314,200.0,79,1,population,ca_detail_1762513195633-pop625
2000,42,19,WÜSTE,1.964,2.0,1.868,31.89,34,1,same,ca_detail_1762512270723
800,43,25,OZEAN,0.642,2.0,1.136,200.0,235,1,steps,ca_detail_1762512767599
2000,13,35,OZEAN,2.0,1.982,2.0,200.0,130,1,seed,ca_detail_1762512483895
1200,12,12,GRASLAND,0.5,1.951,1.182,200.0,997,1,steps,ca_detail_1762512788880
2000,36,17,GEBIRGE,1.066,2.0,0.921,130.25,149,1,seed,ca_detail_1762512446573
1600,49,21,GRASLAND,0.65,2.0,1.477,151.0,218,1,steps,ca_detail_1762512804294
2000,14,49,GEBIRGE,1.949,2.0,2.0,200.0,185,1,same,ca_detail_1762512398038
2000,13,6,SUMPF,0.634,2.0,0.662,200.0,1928,1,same,ca_detail_1762512398038
2000,4,2,VULKAN,1.631,2.0,1.875,100.0,0,1,population,ca_detail_1762513249309-pop1250
2000,20,10,TUNDRA,2.0,2.0,1.161,37.35,155,1,same,ca_detail_1762512398038
2000,0,26,GRASLAND,0.609,2.0,2.0,200.0,326,1,seed,ca_detail_1762512624538
2000,49,36,WALD,2.0,2.0,2.0,200.0,610,1,seed,ca_detail_1762512446573
2000,36,18,GRASLAND,1.116,1.993,1.468,182.26,30,1,same,ca_detail_1762512270723
2000,29,25,VULKAN,1.139,2.0,2.0,65.6,4,1,same,ca_detail_1762512398038
2000,30,34,VULKAN,1.512,1.461,1.129,13.46,95,1,same,ca_detail_1762512398038
2000,46,14,VULKAN,2.0,1.895,2.0,100.0,0,1,same,ca_detail_1762512310071
2000,12,36,SUMPF,0.681,2.0,1.076,200.0,87,1,same,ca_detail_1762512310071
2000,46,28,GEBIRGE,2.0,2.0,1.967,200.0,358,1,seed,ca_detail_1762512570763
2000,12,18,SUMPF,1.917,2.0,2.0,200.0,730,1,population,ca_detail_1762513249309-pop1250
2000,45,16,GEBIRGE,0.5,2.0,1.216,200.0,610,1,same,ca_detail_1762512398038
2000,25,13,OZEAN,2.0,2.0,2.0,200.0,170,1,same,ca_detail_1762512346105
