Zeitschritt,X,Y,Umgebung,Anpassung,Effizienz,Mobilitaet,Energie,Alter,Lebendig
2000,0,0,SUMPF,2.000,2.000,2.000,200.00,11,true
2000,0,1,OZEAN,2.000,1.924,2.000,200.00,203,true
2000,0,2,VULKAN,2.000,2.000,2.000,9.89,12,true
2000,0,3,WALD,2.000,2.000,2.000,170.33,79,true
2000,0,4,GEBIRGE,1.404,2.000,1.758,200.00,319,true
2000,0,5,GEBIRGE,1.404,2.000,1.758,200.00,215,true
2000,0,6,GEBIRGE,1.304,2.000,1.758,122.52,136,true
2000,0,7,VULKAN,2.000,2.000,2.000,79.86,544,true
2000,0,8,GRASLAND,1.620,2.000,0.587,200.00,863,true
2000,0,9,VULKAN,2.000,1.263,0.697,100.00,0,true
2000,0,10,GRASLAND,2.000,2.000,0.521,200.00,206,true
2000,0,11,GEBIRGE,2.000,2.000,0.521,147.01,105,true
2000,0,12,TUNDRA,2.000,2.000,0.500,8.53,83,true
2000,0,13,WÜSTE,1.673,2.000,0.644,18.10,19,true
2000,0,14,OZEAN,1.673,2.000,0.644,143.34,42,true
2000,0,15,GEBIRGE,1.867,1.813,0.644,107.66,87,true
2000,0,16,GRASLAND,1.673,2.000,0.644,200.00,162,true
2000,0,17,SUMPF,1.000,1.200,1.000,200.00,1949,true
2000,0,18,SUMPF,1.673,2.000,0.644,200.00,152,true
2000,0,19,WÜSTE,1.673,2.000,0.772,95.82,1,true
2000,0,20,SUMPF,1.992,1.838,0.659,200.00,283,true
2000,0,21,OZEAN,1.673,2.000,0.500,200.00,71,true
2000,0,22,GEBIRGE,1.673,2.000,0.500,97.54,50,true
2000,0,23,GEBIRGE,1.673,2.000,0.500,118.52,30,true
2000,0,24,TUNDRA,1.673,2.000,0.683,84.18,15,true
2000,0,25,SUMPF,0.500,2.000,2.000,200.00,36,true
2000,0,26,GRASLAND,0.609,2.000,2.000,200.00,326,true
2000,0,27,TUNDRA,0.609,2.000,1.988,93.49,267,true
2000,0,28,GRASLAND,1.424,1.317,0.500,200.00,1945,true
2000,0,29,GRASLAND,2.000,1.031,0.869,179.78,90,true
2000,0,30,VULKAN,2.000,1.031,0.869,46.48,5,true
2000,0,31,GRASLAND,2.000,2.000,0.734,200.00,39,true
2000,0,32,SUMPF,2.000,2.000,0.734,200.00,24,true
2000,0,33,TUNDRA,2.000,1.690,0.734,42.97,19,true
2000,0,34,OZEAN,2.000,1.141,1.105,113.03,4,true
2000,0,35,WÜSTE,2.000,0.893,0.628,74.42,171,true
2000,0,36,GEBIRGE,2.000,1.894,0.513,200.00,156,true
2000,0,37,TUNDRA,2.000,1.722,0.513,167.12,131,true
2000,0,38,WÜSTE,1.494,1.523,0.636,77.46,184,true
2000,0,39,WÜSTE,1.494,2.000,0.636,94.27,205,true
2000,0,40,GRASLAND,1.677,1.800,0.836,200.00,182,true
2000,0,41,TUNDRA,1.443,1.982,0.661,95.07,4,true
2000,0,42,TUNDRA,1.387,2.000,1.699,194.27,1503,true
2000,0,43,OZEAN,1.041,1.984,0.695,200.00,1498,true
2000,0,44,WALD,1.359,1.951,0.845,200.00,199,true
2000,0,45,GRASLAND,1.211,1.931,0.764,100.00,0,true
2000,0,46,SUMPF,1.338,2.000,0.764,150.00,94,true
2000,0,47,TUNDRA,1.338,2.000,0.764,84.54,15,true
2000,0,48,WALD,2.000,2.000,1.178,200.00,593,true
2000,0,49,WALD,0.875,2.000,1.085,200.00,163,true
2000,1,0,VULKAN,2.000,2.000,1.829,32.00,9,true
2000,1,1,WALD,2.000,2.000,1.829,200.00,34,true
2000,1,2,OZEAN,2.000,2.000,2.000,200.00,103,true
2000,1,3,GEBIRGE,1.771,2.000,2.000,200.00,284,true
2000,1,4,GEBIRGE,1.782,2.000,0.872,200.00,1086,true
2000,1,5,TUNDRA,1.404,2.000,1.758,72.16,280,true
2000,1,6,GEBIRGE,1.101,2.000,1.221,139.53,15,true
2000,1,7,OZEAN,1.311,2.000,1.221,200.00,137,true
2000,1,8,TUNDRA,1.311,2.000,1.221,35.17,128,true
2000,1,9,GEBIRGE,1.650,2.000,0.616,200.00,687,true
2000,1,10,WALD,2.000,1.708,0.697,150.00,119,true
2000,1,11,VULKAN,2.000,1.527,0.521,62.09,4,true
2000,1,12,SUMPF,2.000,2.000,0.500,200.00,95,true
2000,1,13,TUNDRA,1.962,2.000,0.683,33.46,69,true
2000,1,14,VULKAN,1.673,2.000,0.644,57.00,5,true
2000,1,15,SUMPF,2.000,1.451,0.500,200.00,486,true
2000,1,16,VULKAN,1.673,2.000,0.644,31.20,8,true
2000,1,17,SUMPF,1.673,2.000,0.644,176.36,39,true
2000,1,18,WÜSTE,1.673,2.000,0.644,78.45,5,true
2000,1,19,TUNDRA,1.362,1.415,0.644,65.16,5,true
2000,1,20,GRASLAND,1.673,2.000,0.549,200.00,148,true
2000,1,21,WÜSTE,1.673,2.000,0.500,64.57,8,true
2000,1,22,TUNDRA,1.673,2.000,0.500,44.40,46,true
2000,1,23,VULKAN,1.673,2.000,0.621,22.60,9,true
2000,1,24,WÜSTE,1.673,2.000,0.625,30.75,16,true
2000,1,25,TUNDRA,0.500,1.750,2.000,26.18,42,true
2000,1,26,OZEAN,0.709,1.884,1.270,200.00,662,true
2000,1,27,OZEAN,0.709,2.000,1.235,200.00,525,true
2000,1,28,GEBIRGE,1.948,2.000,0.645,200.00,1827,true
2000,1,29,GRASLAND,2.000,1.542,0.868,200.00,189,true
2000,1,30,SUMPF,2.000,1.542,0.734,156.57,83,true
2000,1,31,GRASLAND,2.000,1.499,0.868,200.00,182,true
2000,1,32,SUMPF,2.000,1.141,0.868,200.00,165,true
2000,1,33,WALD,2.000,1.141,0.868,105.69,96,true
2000,1,35,VULKAN,2.000,1.584,0.500,81.28,2,true
2000,1,36,OZEAN,2.000,1.584,0.500,107.47,1,true
2000,1,37,VULKAN,2.000,1.584,0.500,34.47,7,true
2000,1,38,VULKAN,1.805,2.000,0.661,100.00,0,true
2000,1,39,OZEAN,1.359,1.982,0.661,134.02,15,true
2000,1,40,OZEAN,1.359,1.982,0.661,128.70,20,true
2000,1,41,WÜSTE,1.359,1.799,1.133,44.38,9,true
2000,1,42,WALD,1.359,2.000,0.637,200.00,337,true
2000,1,43,WALD,1.359,1.799,0.845,200.00,167,true
2000,1,44,TUNDRA,1.334,1.799,1.062,65.91,17,true
2000,1,45,WALD,1.359,2.000,0.845,200.00,244,true
2000,1,46,SUMPF,1.359,2.000,0.845,200.00,124,true
2000,1,47,TUNDRA,1.359,1.941,0.845,35.93,309,true
2000,1,48,GEBIRGE,1.885,2.000,1.691,200.00,755,true
2000,1,49,WÜSTE,1.359,1.941,1.085,108.62,282,true
2000,2,0,TUNDRA,2.000,1.924,2.000,57.91,120,true
2000,2,1,WALD,2.000,1.924,1.556,200.00,155,true
2000,2,2,WÜSTE,2.000,2.000,1.829,55.15,24,true
2000,2,3,WÜSTE,2.000,2.000,1.465,83.49,8,true
2000,2,4,GEBIRGE,1.811,2.000,1.747,200.00,208,true
2000,2,5,TUNDRA,2.000,2.000,2.000,146.12,703,true
2000,2,6,OZEAN,1.101,2.000,1.221,200.00,67,true
2000,2,7,OZEAN,2.000,2.000,2.000,200.00,297,true
2000,2,8,GRASLAND,1.744,2.000,0.587,200.00,842,true
2000,2,9,GEBIRGE,2.000,1.708,0.697,77.98,115,true
2000,2,10,TUNDRA,2.000,1.708,0.697,44.71,19,true
2000,2,11,GEBIRGE,2.000,2.000,0.500,200.00,402,true
2000,2,12,WALD,2.000,2.000,0.500,200.00,361,true
2000,2,13,WALD,2.000,2.000,0.500,200.00,39,true
2000,2,14,GEBIRGE,1.814,2.000,1.813,200.00,1082,true
2000,2,15,GEBIRGE,1.673,2.000,0.644,200.00,182,true
2000,2,16,SUMPF,2.000,1.451,0.500,200.00,456,true
2000,2,17,GRASLAND,2.000,2.000,0.624,166.20,39,true
2000,2,18,SUMPF,2.000,2.000,0.624,200.00,140,true
2000,2,19,GRASLAND,2.000,1.133,0.500,200.00,273,true
2000,2,20,SUMPF,0.801,2.000,1.335,200.00,811,true
2000,2,21,SUMPF,1.992,1.938,0.858,200.00,424,true
2000,2,22,GEBIRGE,0.500,2.000,2.000,97.41,55,true
2000,2,23,TUNDRA,0.500,2.000,1.718,95.43,26,true
2000,2,24,OZEAN,0.500,2.000,2.000,132.36,59,true
2000,2,25,WÜSTE,0.500,2.000,2.000,75.20,4,true
2000,2,26,SUMPF,0.500,2.000,2.000,200.00,227,true
2000,2,27,GEBIRGE,0.709,2.000,1.235,200.00,517,true
2000,2,28,WALD,0.702,1.298,0.950,200.00,352,true
2000,2,29,TUNDRA,2.000,2.000,0.734,63.21,41,true
2000,2,30,WÜSTE,2.000,1.542,0.734,36.85,11,true
2000,2,31,OZEAN,2.000,1.542,0.734,107.09,1,true
2000,2,32,TUNDRA,2.000,1.141,0.868,92.75,1,true
2000,2,33,GRASLAND,1.377,1.141,0.868,105.32,118,true
