Zeitschritt,GesamtOrganismen,DurchschnAnpassung,DurchschnEffizienz,DurchschnMobilitaet,DurchschnEnergie,DurchschnAlter,GRASLAND,WALD,WÜSTE,TUNDRA,GEBIRGE,SUMPF,OZEAN,VULKAN
0,100,1.000,1.000,1.000,100.00,0.00,13,11,10,12,7,18,13,16
1,100,1.000,1.000,1.000,98.17,1.00,17,11,8,11,5,18,16,14
2,100,1.000,1.000,1.000,97.12,2.00,17,12,7,11,9,18,14,12
3,143,0.996,0.998,0.998,82.31,2.10,17,17,13,17,16,22,20,21
4,145,0.995,1.000,0.999,80.15,3.06,16,14,13,17,19,22,22,22
5,146,0.995,0.999,0.999,77.91,4.03,15,20,16,15,18,28,21,13
6,169,0.999,0.999,1.006,73.01,4.34,16,18,22,17,19,31,24,22
7,172,1.001,0.999,1.004,70.84,5.25,16,17,22,19,22,29,21,26
8,178,1.001,1.001,1.008,67.96,6.04,19,16,25,22,21,32,17,26
9,189,1.002,0.998,1.014,64.81,6.63,23,14,28,23,24,31,20,26
10,190,1.004,0.999,1.014,62.98,7.48,19,18,24,28,23,26,21,31
11,194,1.007,0.997,1.013,60.72,8.20,21,20,25,36,20,26,18,28
12,200,1.008,0.998,1.015,58.86,8.74,24,22,20,30,24,32,18,30
13,193,1.005,1.000,1.016,60.60,9.32,26,25,17,23,28,33,17,24
14,192,1.007,1.003,1.018,61.11,9.95,28,22,13,28,27,35,16,23
15,191,1.006,1.003,1.024,61.44,10.64,25,20,18,33,19,35,21,20
16,200,1.010,1.003,1.028,60.37,10.88,20,24,25,34,21,27,26,23
17,203,1.010,1.004,1.027,59.45,11.38,22,26,27,32,22,24,27,23
18,199,1.011,1.006,1.029,60.33,11.86,20,30,22,28,24,27,27,21
19,201,1.013,1.007,1.025,60.86,12.17,21,32,22,21,24,29,29,23
20,204,1.014,1.009,1.019,61.58,12.32,20,24,26,21,27,31,28,27
21,201,1.017,1.011,1.022,62.27,12.87,19,26,27,21,27,34,28,19
22,204,1.022,1.016,1.020,62.70,13.04,25,25,23,20,21,37,31,22
23,208,1.020,1.025,1.016,63.37,13.26,23,25,20,22,22,36,32,28
24,214,1.019,1.029,1.013,63.27,13.53,27,24,23,32,22,24,34,28
25,215,1.020,1.034,1.009,64.32,13.55,27,23,17,30,25,34,28,31
26,220,1.020,1.036,1.005,64.75,13.54,30,25,21,34,26,32,27,25
27,225,1.020,1.044,1.007,65.13,13.58,23,28,20,30,30,37,28,29
28,231,1.023,1.046,1.004,65.01,13.83,27,23,21,30,32,41,31,26
29,238,1.022,1.054,1.003,65.27,13.93,28,23,22,30,34,40,34,27
30,246,1.019,1.072,1.004,65.82,13.89,27,29,21,35,29,39,39,27
31,256,1.016,1.077,0.996,66.70,13.51,32,34,24,32,25,44,34,31
32,262,1.017,1.079,0.995,67.47,13.79,33,35,22,39,24,44,30,35
33,275,1.012,1.091,0.993,67.76,13.52,30,41,26,38,24,50,31,35
34,287,1.019,1.100,0.994,68.26,13.39,32,36,26,36,32,45,39,41
35,297,1.015,1.104,0.994,68.09,13.69,34,36,29,31,33,51,41,42
36,322,1.014,1.122,0.994,67.74,13.16,38,45,29,38,34,50,45,43
37,335,1.014,1.132,0.988,68.78,13.01,43,44,29,39,36,49,44,51
38,349,1.006,1.140,0.990,69.52,12.98,42,46,27,42,33,51,49,59
39,365,1.004,1.156,0.989,70.25,12.74,47,47,32,44,36,57,46,56
40,385,0.999,1.167,0.983,70.29,12.78,49,46,38,41,38,64,52,57
41,408,1.001,1.174,0.981,70.21,12.70,52,47,43,44,46,64,56,56
42,435,1.007,1.186,0.981,70.13,12.55,55,49,47,48,49,66,63,58
43,457,1.004,1.198,0.984,70.90,12.36,57,56,46,51,51,71,69,56
44,485,0.997,1.202,0.983,71.29,12.39,68,52,54,54,53,72,72,60
45,513,0.999,1.211,0.984,71.38,12.45,68,55,55,56,59,83,75,62
46,547,1.001,1.224,0.987,71.43,12.35,66,65,67,60,65,78,79,67
47,580,0.995,1.233,0.984,71.50,12.32,64,73,70,74,66,84,88,61
48,613,0.998,1.239,0.989,71.90,12.33,70,73,76,82,69,84,89,70
49,644,0.995,1.251,0.992,71.94,12.44,77,75,67,82,79,89,95,80
50,695,0.997,1.266,0.998,71.36,12.29,83,82,83,82,82,99,103,81
51,736,0.996,1.274,0.994,71.56,12.36,87,80,90,86,86,113,111,83
52,766,1.001,1.287,0.999,72.64,12.27,86,86,97,86,88,123,110,90
53,812,1.004,1.299,1.002,72.95,12.12,90,89,98,102,89,124,117,103
54,857,1.007,1.313,1.005,73.35,12.11,101,99,100,109,96,122,123,107
55,896,1.008,1.326,1.008,74.20,12.21,109,104,105,108,112,128,123,107
56,951,1.010,1.344,1.016,75.05,11.85,118,102,119,112,120,140,133,107
57,998,1.017,1.358,1.017,75.67,11.93,121,113,125,124,120,143,133,119
58,1048,1.021,1.363,1.027,75.89,12.12,118,117,128,124,130,157,150,124
59,1107,1.017,1.378,1.030,76.48,12.02,121,119,148,134,133,159,157,136
60,1162,1.023,1.388,1.033,76.33,12.26,129,119,156,140,135,164,167,152
61,1223,1.026,1.395,1.039,76.49,12.23,140,131,161,142,140,177,172,160
62,1271,1.024,1.407,1.047,76.97,12.46,151,140,159,152,149,181,171,168
63,1319,1.028,1.414,1.048,77.63,12.67,157,139,164,164,162,187,174,172
64,1375,1.032,1.423,1.052,78.01,12.83,157,142,181,177,168,187,183,180
65,1424,1.033,1.433,1.057,78.70,12.86,164,152,184,181,175,191,191,186
66,1478,1.039,1.446,1.066,79.54,12.88,162,159,189,187,185,211,197,188
67,1531,1.038,1.455,1.069,80.37,13.00,172,161,200,191,185,220,207,195
68,1593,1.039,1.463,1.075,80.85,13.10,186,170,207,196,193,225,210,206
69,1647,1.041,1.473,1.077,81.53,13.29,191,177,207,204,204,236,212,216
70,1695,1.044,1.481,1.082,82.28,13.47,202,181,223,214,203,236,221,215
71,1744,1.046,1.491,1.088,83.01,13.71,210,183,231,213,211,238,228,230
72,1801,1.045,1.501,1.091,83.36,13.92,211,196,233,225,216,249,239,232
73,1831,1.045,1.507,1.093,84.72,14.15,220,200,241,227,213,249,242,239
74,1875,1.048,1.513,1.096,85.70,14.38,218,207,245,234,224,257,242,248
75,1928,1.046,1.521,1.098,86.33,14.60,228,214,242,243,230,263,256,252
76,1981,1.045,1.527,1.102,87.15,14.74,235,218,253,249,239,272,254,261
77,2019,1.047,1.531,1.104,88.41,14.96,241,219,259,251,241,277,268,263
78,2057,1.047,1.538,1.104,89.13,15.36,242,218,264,260,248,278,275,272
79,2100,1.049,1.543,1.107,90.03,15.62,253,226,268,262,253,287,275,276
80,2127,1.050,1.551,1.107,91.35,15.85,252,235,273,266,251,286,281,283
81,2164,1.051,1.557,1.110,91.79,16.32,258,236,270,274,258,292,288,288
82,2200,1.051,1.563,1.111,92.63,16.61,262,242,277,281,263,293,291,291
83,2229,1.051,1.567,1.113,93.49,17.03,267,237,283,286,269,299,294,294
84,2257,1.053,1.568,1.114,93.96,17.46,267,245,285,288,274,303,299,296
85,2289,1.057,1.573,1.120,94.49,17.79,269,250,286,293,280,307,300,304
86,2311,1.059,1.577,1.123,95.43,18.13,272,254,284,299,279,313,300,310
87,2330,1.060,1.580,1.124,96.40,18.55,273,255,289,300,282,311,306,314
88,2358,1.063,1.582,1.125,96.83,18.93,276,263,290,299,287,317,307,319
89,2382,1.065,1.584,1.127,97.47,19.37,277,264,291,302,291,321,314,322
90,2395,1.066,1.586,1.127,98.49,19.79,282,265,298,307,297,316,310,320
91,2417,1.068,1.587,1.131,98.95,20.30,282,269,295,312,293,324,320,322
92,2433,1.069,1.588,1.135,99.27,20.86,285,266,298,314,293,325,324,328
93,2447,1.071,1.591,1.137,99.72,21.36,287,272,300,314,300,321,323,330
94,2466,1.071,1.593,1.141,100.39,21.79,289,271,304,316,298,332,324,332
95,2480,1.069,1.595,1.143,100.98,22.22,291,274,303,319,300,332,327,334
96,2483,1.071,1.598,1.143,101.75,22.75,289,278,304,314,301,335,328,334
97,2488,1.072,1.598,1.144,102.62,23.28,294,278,305,318,300,333,327,333
98,2490,1.073,1.598,1.146,103.40,23.87,294,278,304,318,301,336,329,330
99,2493,1.071,1.599,1.146,103.94,24.50,294,277,306,317,302,334,329,334
100,2494,1.072,1.600,1.147,104.46,25.15,294,278,305,319,301,334,329,334
101,2491,1.071,1.601,1.148,105.48,25.63,294,278,306,315,301,335,329,333
102,2493,1.072,1.603,1.150,105.62,26.31,294,278,304,317,303,335,329,333
103,2493,1.074,1.603,1.151,106.09,26.85,294,278,307,317,303,335,329,330
104,2496,1.075,1.602,1.149,106.46,27.43,294,278,305,318,303,336,328,334
105,2499,1.077,1.603,1.149,106.79,28.02,294,278,307,319,302,336,329,334
106,2496,1.078,1.601,1.150,106.99,28.74,294,278,307,319,301,335,328,334
107,2494,1.079,1.600,1.151,107.62,29.30,294,277,307,316,301,336,329,334
108,2497,1.078,1.602,1.151,107.78,29.91,294,278,307,319,303,334,329,333
109,2494,1.078,1.603,1.151,108.23,30.55,293,278,307,319,301,336,327,333
110,2495,1.078,1.604,1.151,108.49,31.10,294,277,307,317,303,336,329,332
111,2498,1.079,1.606,1.152,109.16,31.46,294,278,307,318,303,336,328,334
112,2497,1.077,1.608,1.151,109.47,32.05,294,278,305,319,303,336,329,333
113,2498,1.078,1.607,1.150,109.72,32.63,294,278,307,319,302,336,328,334
114,2496,1.077,1.608,1.150,109.95,33.24,294,278,306,317,303,335,329,334
