Zeitschritt,GesamtOrganismen,DurchschnAnpassung,DurchschnEffizienz,DurchschnMobilitaet,DurchschnEnergie,DurchschnAlter,GRASLAND,WALD,WÜSTE,TUNDRA,GEBIRGE,SUMPF,OZEAN,VULKAN
115,2495,1.076,1.609,1.149,109.96,33.88,294,278,307,316,303,335,328,334
116,2494,1.077,1.611,1.151,110.38,34.46,294,276,305,319,302,335,329,334
117,2498,1.076,1.608,1.151,110.41,35.00,294,278,306,319,303,336,329,333
118,2496,1.076,1.610,1.151,110.65,35.69,294,278,305,319,302,336,329,333
119,2498,1.074,1.611,1.151,111.03,36.18,294,278,307,319,303,336,328,333
120,2497,1.075,1.612,1.151,110.96,36.84,293,278,306,319,303,335,329,334
121,2496,1.076,1.613,1.152,111.18,37.52,294,275,307,318,303,336,329,334
122,2496,1.077,1.613,1.152,111.65,38.00,294,278,306,317,303,336,329,333
123,2498,1.076,1.616,1.154,111.88,38.58,294,278,307,318,303,336,328,334
124,2497,1.079,1.616,1.154,112.13,39.17,294,278,306,319,303,335,329,333
125,2497,1.076,1.617,1.153,112.30,39.72,294,278,306,319,303,335,329,333
126,2496,1.078,1.618,1.153,112.51,40.26,294,278,307,318,303,336,328,332
127,2499,1.078,1.619,1.154,112.40,40.81,294,278,306,319,303,336,329,334
128,2497,1.079,1.621,1.154,112.80,41.21,294,278,306,319,302,336,329,333
129,2499,1.078,1.623,1.154,112.82,41.81,294,278,307,319,303,335,329,334
130,2500,1.078,1.623,1.156,112.92,42.47,294,278,307,319,303,336,329,334
131,2497,1.078,1.625,1.157,113.19,43.14,294,278,306,319,303,335,328,334
132,2498,1.078,1.627,1.158,113.13,43.72,294,278,307,319,303,335,329,333
133,2496,1.079,1.628,1.158,113.36,44.30,294,277,306,319,303,335,329,333
134,2494,1.077,1.629,1.157,113.52,44.98,293,278,306,318,302,336,329,332
135,2495,1.078,1.631,1.160,113.89,45.54,294,278,306,318,302,335,329,333
136,2498,1.078,1.629,1.159,113.83,46.14,294,278,306,319,303,336,329,333
137,2498,1.077,1.629,1.160,113.87,46.81,294,278,306,318,303,336,329,334
138,2499,1.076,1.630,1.159,113.50,47.48,294,278,307,318,303,336,329,334
139,2499,1.077,1.631,1.159,113.39,48.09,294,278,307,319,303,336,328,334
140,2498,1.078,1.633,1.160,113.69,48.59,293,278,307,319,303,336,329,333
141,2496,1.079,1.634,1.160,114.12,49.13,294,278,305,318,302,336,329,334
142,2500,1.079,1.633,1.161,113.91,49.76,294,278,307,319,303,336,329,334
143,2497,1.079,1.632,1.162,114.23,50.36,294,278,307,319,302,335,329,333
144,2496,1.080,1.631,1.163,114.11,51.05,294,278,307,319,301,335,329,333
145,2495,1.080,1.632,1.163,113.99,51.76,294,278,307,318,301,334,329,334
146,2496,1.080,1.632,1.163,114.26,52.24,294,278,307,317,302,335,329,334
147,2492,1.081,1.632,1.163,114.68,52.91,293,276,306,318,303,335,328,333
148,2494,1.081,1.631,1.163,114.74,53.28,294,278,307,318,302,336,329,330
149,2498,1.081,1.631,1.164,114.46,53.85,294,278,305,319,303,336,329,334
150,2498,1.082,1.632,1.165,114.60,54.39,294,278,306,319,303,336,329,333
151,2500,1.083,1.632,1.163,114.62,54.90,294,278,307,319,303,336,329,334
152,2496,1.084,1.631,1.162,115.04,55.51,294,278,306,318,303,336,328,333
153,2498,1.083,1.631,1.162,115.11,56.08,294,278,306,319,302,336,329,334
154,2496,1.082,1.631,1.161,115.23,56.65,294,278,307,318,300,336,329,334
155,2495,1.084,1.634,1.163,115.55,57.08,294,278,306,317,302,336,329,333
156,2495,1.083,1.634,1.162,115.56,57.66,294,278,306,317,303,336,328,333
157,2499,1.083,1.634,1.162,115.47,58.27,294,278,306,319,303,336,329,334
158,2496,1.084,1.635,1.162,115.68,58.83,294,278,306,319,303,335,328,333
159,2497,1.086,1.637,1.162,115.81,59.40,294,278,307,319,303,334,329,333
160,2495,1.085,1.639,1.162,115.77,60.00,292,278,306,317,303,336,329,334
161,2496,1.085,1.638,1.162,116.00,60.53,294,278,307,318,303,335,329,332
162,2496,1.085,1.639,1.162,116.07,61.01,293,278,307,318,303,336,329,332
163,2494,1.087,1.639,1.161,116.54,61.60,292,278,306,318,303,335,329,333
164,2493,1.088,1.639,1.161,116.83,62.16,294,277,305,317,303,336,328,333
165,2497,1.088,1.638,1.161,116.63,62.76,292,278,307,319,302,336,329,334
166,2492,1.089,1.639,1.161,116.91,63.49,293,277,305,319,303,335,328,332
167,2490,1.089,1.640,1.160,117.22,64.08,292,278,306,318,302,335,327,332
168,2492,1.089,1.640,1.160,117.04,64.61,294,278,305,318,303,335,329,330
169,2494,1.090,1.639,1.160,117.03,65.17,294,278,306,318,303,334,329,332
170,2490,1.091,1.640,1.160,117.27,65.74,294,278,306,319,300,335,327,331
171,2489,1.089,1.640,1.158,117.51,66.39,294,278,305,316,303,334,326,333
172,2489,1.089,1.640,1.157,117.56,67.00,294,276,306,317,303,334,328,331
173,2487,1.088,1.640,1.158,117.81,67.66,293,277,306,318,302,332,327,332
174,2483,1.089,1.642,1.159,118.07,68.26,293,277,305,318,300,334,325,331
175,2484,1.089,1.643,1.160,118.02,68.88,294,274,306,316,303,332,326,333
176,2488,1.088,1.645,1.161,117.91,69.34,293,276,306,316,301,336,329,331
177,2484,1.087,1.647,1.162,117.86,70.16,294,277,304,318,302,333,325,331
178,2489,1.087,1.648,1.163,117.46,70.71,294,276,306,317,302,333,327,334
179,2483,1.087,1.649,1.161,117.98,71.36,291,276,302,317,303,334,328,332
180,2480,1.087,1.650,1.163,118.22,71.83,294,276,304,317,300,333,327,329
181,2477,1.086,1.653,1.162,118.38,72.48,292,278,300,318,301,334,324,330
182,2476,1.087,1.654,1.164,118.44,73.08,292,274,303,318,299,333,327,330
183,2472,1.087,1.654,1.165,118.65,73.81,291,277,301,317,299,332,323,332
184,2470,1.088,1.656,1.166,118.60,74.52,291,275,298,316,300,334,324,332
185,2470,1.088,1.655,1.166,119.09,74.82,292,276,302,313,298,333,326,330
186,2471,1.088,1.655,1.165,119.20,75.32,290,276,301,314,300,333,327,330
187,2471,1.088,1.657,1.168,119.27,75.84,290,274,301,316,303,332,323,332
188,2466,1.089,1.657,1.168,119.42,76.67,291,271,301,316,298,333,327,329
189,2467,1.092,1.657,1.169,119.47,77.18,292,272,299,315,302,333,324,330
190,2454,1.090,1.661,1.170,120.24,78.06,288,274,304,313,296,329,322,328
191,2451,1.091,1.663,1.170,120.30,78.69,286,275,296,313,300,329,324,328
192,2448,1.091,1.665,1.169,120.45,79.09,287,277,301,310,295,327,322,329
193,2450,1.094,1.667,1.171,120.29,79.54,284,273,302,315,300,330,325,321
194,2447,1.095,1.670,1.172,120.69,79.90,289,275,297,317,296,328,319,326
195,2442,1.095,1.669,1.172,120.93,80.55,287,272,300,313,295,325,320,330
196,2431,1.097,1.671,1.172,121.61,81.35,283,274,298,313,297,327,318,321
197,2436,1.097,1.673,1.174,121.73,81.64,287,271,299,307,297,329,322,324
198,2435,1.099,1.674,1.173,121.94,82.07,284,271,299,313,293,330,316,329
199,2440,1.101,1.677,1.173,121.73,82.55,287,272,299,310,296,326,321,329
200,2434,1.101,1.678,1.174,122.06,83.09,289,268,299,310,291,327,325,325
201,2430,1.099,1.679,1.173,122.32,83.55,290,272,291,311,296,327,319,324
202,2421,1.100,1.679,1.177,123.02,84.25,289,273,293,307,293,325,320,321
203,2421,1.101,1.681,1.177,123.13,84.90,286,274,288,315,294,328,313,323
204,2428,1.100,1.683,1.178,123.09,84.96,285,271,293,312,298,323,319,327
205,2434,1.100,1.685,1.178,122.87,85.16,288,273,297,312,299,325,316,324
206,2428,1.102,1.686,1.178,123.25,85.92,288,272,298,309,293,330,316,322
207,2420,1.104,1.687,1.183,123.76,86.55,283,268,297,314,297,329,313,319
208,2416,1.104,1.690,1.183,124.16,87.16,284,269,296,310,291,327,314,325
209,2417,1.106,1.691,1.184,124.40,87.40,279,270,299,308,294,325,324,318
210,2432,1.107,1.693,1.185,124.21,87.14,288,267,301,312,295,326,316,327
211,2434,1.107,1.695,1.188,124.27,87.49,289,271,298,311,297,325,321,322
212,2442,1.106,1.698,1.189,124.28,87.54,282,272,302,314,293,333,321,325
213,2444,1.109,1.699,1.187,124.47,87.86,287,274,300,311,295,331,319,327
214,2443,1.109,1.700,1.190,124.86,88.46,283,270,300,316,299,326,319,330
215,2447,1.112,1.701,1.192,124.91,88.58,291,271,298,312,297,329,325,324
216,2455,1.114,1.703,1.193,124.98,88.22,288,274,306,316,292,329,327,323
217,2458,1.114,1.704,1.196,125.06,88.53,291,272,302,315,300,331,319,328
218,2466,1.114,1.707,1.196,124.93,88.15,289,271,303,316,300,334,325,328
219,2460,1.115,1.709,1.195,125.31,88.20,288,276,300,316,298,332,323,327
220,2467,1.115,1.710,1.195,125.10,88.37,292,276,302,316,296,332,324,329
221,2463,1.114,1.712,1.194,125.30,88.59,291,273,302,315,297,333,325,327
222,2463,1.115,1.713,1.196,125.52,88.46,288,273,300,317,300,332,325,328
223,2465,1.116,1.714,1.195,125.48,88.92,291,274,304,315,301,330,325,325
224,2465,1.116,1.716,1.194,125.58,89.09,290,277,306,314,300,331,320,327
225,2464,1.116,1.720,1.195,125.93,88.69,290,275,302,316,299,329,328,325
226,2472,1.115,1.721,1.195,125.68,88.77,291,277,302,313,300,334,325,330
227,2471,1.115,1.723,1.196,125.81,88.76,291,274,304,314,300,332,327,329
228,2478,1.117,1.724,1.196,125.55,88.72,293,277,306,316,298,334,324,330
229,2475,1.118,1.724,1.196,125.82,88.79,293,275,304,313,301,335,327,327
230,2476,1.119,1.722,1.196,125.86,88.77,290,274,306,317,300,336,324,329
231,2478,1.121,1.723,1.197,125.82,88.44,290,278,303,317,300,333,326,331
232,2478,1.123,1.723,1.200,126.10,88.58,289,277,305,315,300,335,327,330
233,2478,1.123,1.727,1.199,126.45,88.56,293,274,305,317,297,335,328,329
234,2479,1.121,1.726,1.200,126.65,88.54,292,274,307,313,300,335,327,331
235,2484,1.120,1.727,1.199,126.33,88.70,293,276,305,316,300,336,327,331
236,2483,1.121,1.726,1.201,126.49,89.07,293,278,303,317,301,332,327,332
237,2484,1.121,1.727,1.202,126.44,89.10,293,276,304,317,301,335,328,330
238,2479,1.120,1.727,1.200,126.85,89.16,292,275,304,319,299,335,328,327
239,2482,1.118,1.727,1.202,126.89,89.42,293,274,305,317,302,334,328,329
240,2478,1.117,1.728,1.201,127.10,89.89,292,275,300,317,301,335,327,331
241,2478,1.119,1.729,1.203,127.44,90.01,292,275,304,316,300,336,326,329
242,2482,1.116,1.729,1.201,127.21,90.41,292,275,306,317,301,335,328,328
243,2487,1.116,1.730,1.203,127.03,90.59,294,277,304,317,299,335,329,332
244,2484,1.114,1.730,1.202,127.18,91.10,293,275,302,318,302,336,327,331
245,2483,1.114,1.731,1.202,127.17,91.58,291,276,303,316,302,336,329,330
246,2478,1.115,1.732,1.202,127.15,92.23,292,274,302,315,300,335,328,332
247,2486,1.114,1.732,1.203,126.69,92.19,294,276,307,314,302,336,327,330
248,2483,1.113,1.731,1.203,126.93,92.35,293,278,306,317,301,336,326,326
249,2487,1.115,1.733,1.205,126.94,92.45,292,277,305,318,302,336,326,331
250,2487,1.115,1.734,1.206,127.01,92.96,293,277,305,318,300,333,328,333
251,2481,1.114,1.735,1.206,127.58,93.36,293,276,306,315,298,333,326,334
252,2487,1.114,1.736,1.205,127.45,93.49,294,277,306,317,299,336,327,331
253,2483,1.114,1.736,1.206,127.60,93.92,294,277,305,316,302,332,327,330
254,2483,1.115,1.736,1.205,127.58,94.26,292,277,306,319,300,334,326,329
255,2483,1.117,1.735,1.207,127.84,94.51,294,277,305,317,303,332,327,328
256,2484,1.118,1.735,1.207,127.96,94.89,293,276,301,318,302,335,328,331
257,2486,1.119,1.733,1.207,127.95,95.28,291,276,305,318,300,334,329,333
258,2488,1.118,1.733,1.207,127.83,95.53,294,277,304,315,301,334,329,334
259,2490,1.118,1.733,1.207,127.71,95.91,294,277,305,318,302,336,327,331
260,2488,1.119,1.734,1.206,127.87,96.12,293,278,304,317,302,335,329,330
261,2495,1.121,1.736,1.206,127.65,96.37,293,278,305,319,302,335,329,334
262,2492,1.121,1.736,1.206,127.92,97.00,294,278,304,318,302,336,328,332
263,2496,1.122,1.736,1.207,127.88,97.38,293,278,307,319,303,336,326,334
264,2492,1.120,1.737,1.206,127.99,98.05,294,278,306,314,302,336,328,334
265,2487,1.121,1.738,1.206,128.28,98.61,294,277,306,316,301,336,328,329
266,2488,1.121,1.738,1.204,128.09,99.05,293,277,306,318,301,335,327,331
267,2491,1.120,1.738,1.204,127.91,99.27,293,277,307,318,303,335,329,329
268,2492,1.119,1.738,1.203,128.07,99.54,294,277,306,318,302,334,328,333
269,2494,1.120,1.738,1.204,127.91,99.92,294,277,307,318,302,335,328,333
270,2498,1.120,1.738,1.204,127.66,100.32,294,277,307,319,303,336,328,334
271,2497,1.122,1.739,1.204,127.42,100.75,294,278,306,318,303,335,329,334
272,2494,1.123,1.737,1.204,127.46,101.25,293,277,307,318,303,335,329,332
273,2494,1.124,1.737,1.203,127.72,101.42,294,277,307,318,303,334,328,333
274,2492,1.122,1.737,1.203,127.83,101.88,293,276,306,318,303,335,327,334
275,2493,1.123,1.738,1.204,127.84,102.41,294,277,306,317,302,336,328,333
276,2493,1.122,1.739,1.202,128.08,102.54,294,277,303,319,303,335,328,334
277,2493,1.121,1.737,1.201,127.88,103.08,294,277,307,316,303,336,328,332
278,2495,1.119,1.738,1.202,127.88,103.37,294,278,306,318,301,336,328,334
279,2494,1.119,1.740,1.202,128.19,103.90,293,278,306,318,303,335,329,332
280,2492,1.119,1.740,1.203,128.24,104.60,294,277,306,317,303,335,327,333
281,2495,1.118,1.739,1.200,128.13,105.08,294,277,306,318,302,336,329,333
282,2493,1.116,1.739,1.200,128.22,105.75,294,277,306,318,303,335,328,332
283,2487,1.116,1.739,1.201,128.48,105.78,291,278,303,317,303,335,327,333
284,2491,1.115,1.739,1.200,128.36,106.11,293,277,305,319,302,334,329,332
285,2489,1.116,1.738,1.200,128.65,106.60,294,277,306,315,303,335,327,332
286,2493,1.116,1.737,1.200,128.58,107.08,292,278,307,317,303,336,329,331
287,2492,1.115,1.738,1.202,128.91,107.53,294,276,305,319,302,335,328,333
288,2493,1.114,1.738,1.203,128.94,108.07,294,277,306,317,301,336,328,334
289,2495,1.114,1.739,1.204,128.66,108.46,294,278,306,319,302,336,327,333
290,2498,1.114,1.737,1.204,128.39,108.91,294,278,307,318,303,335,329,334
291,2495,1.113,1.738,1.205,128.66,109.37,293,278,306,317,303,335,329,334
292,2496,1.114,1.737,1.204,128.57,109.89,294,277,305,319,303,335,329,334
293,2492,1.114,1.737,1.204,128.64,110.47,294,278,307,316,303,335,329,330
294,2492,1.113,1.736,1.205,128.82,110.86,294,278,307,319,301,335,328,330
295,2488,1.115,1.735,1.206,128.69,111.79,292,278,306,318,298,335,329,332
296,2494,1.115,1.736,1.206,128.65,111.94,294,278,307,319,299,335,329,333
297,2490,1.115,1.737,1.207,128.81,112.57,293,277,306,318,301,336,329,330
298,2495,1.116,1.738,1.207,128.74,112.89,294,278,305,317,303,336,329,333
299,2494,1.116,1.739,1.207,128.94,113.49,294,278,306,319,302,335,327,333
300,2498,1.117,1.740,1.207,128.58,114.09,294,277,307,318,303,336,329,334
301,2496,1.116,1.740,1.208,128.49,114.58,294,277,306,319,302,336,329,333
302,2491,1.116,1.740,1.207,128.61,115.18,294,277,304,319,302,335,328,332
303,2494,1.115,1.740,1.207,128.52,115.62,294,277,306,318,302,335,329,333
304,2497,1.116,1.739,1.207,128.32,116.03,294,277,306,319,303,335,329,334
305,2491,1.114,1.740,1.206,128.64,116.43,294,278,306,318,303,332,328,332
306,2488,1.114,1.739,1.206,128.65,116.94,294,276,304,315,303,336,327,333
307,2490,1.114,1.741,1.209,128.68,117.04,293,276,307,317,301,336,328,332
308,2491,1.114,1.742,1.209,128.61,117.32,292,277,306,317,302,335,328,334
309,2488,1.114,1.743,1.209,128.79,117.89,293,276,303,318,301,335,328,334
310,2485,1.112,1.742,1.208,129.06,118.38,293,277,306,318,300,334,328,329
311,2489,1.113,1.741,1.208,129.28,118.46,291,277,305,318,303,336,328,331
312,2491,1.112,1.742,1.207,129.32,118.75,294,276,305,315,303,335,329,334
313,2493,1.112,1.741,1.206,129.10,119.22,293,277,306,318,302,334,329,334
314,2490,1.113,1.743,1.205,129.39,119.76,294,277,305,316,303,334,328,333
315,2492,1.112,1.743,1.203,129.54,119.74,292,278,305,318,302,334,329,334
316,2488,1.112,1.742,1.204,129.62,120.65,294,277,304,318,301,335,326,333
317,2486,1.110,1.743,1.205,129.71,121.32,293,277,306,316,302,333,328,331
318,2492,1.111,1.744,1.206,129.57,121.74,292,278,306,317,303,334,328,334
319,2484,1.112,1.745,1.208,129.77,122.46,291,276,304,316,301,336,329,331
320,2482,1.112,1.745,1.209,129.83,123.26,289,276,305,318,301,335,328,330
321,2479,1.112,1.746,1.210,130.09,124.01,287,277,304,317,301,335,328,330
322,2479,1.112,1.745,1.209,130.01,124.72,290,277,303,317,300,335,329,328
323,2479,1.112,1.745,1.208,130.09,125.22,292,276,305,316,301,333,327,329
324,2477,1.112,1.746,1.210,130.30,125.41,289,278,305,316,301,332,329,327
325,2477,1.110,1.749,1.209,130.26,126.04,293,278,305,315,301,331,327,327
326,2473,1.111,1.749,1.211,130.71,126.67,290,271,305,318,302,333,326,328
327,2467,1.112,1.749,1.214,130.85,127.58,291,278,301,315,298,330,329,325
328,2479,1.113,1.750,1.215,130.42,127.28,293,278,306,317,300,328,328,329
329,2476,1.114,1.749,1.215,130.52,127.93,292,274,302,319,300,334,324,331
330,2474,1.113,1.750,1.215,130.56,128.59,290,276,304,316,298,334,325,331
331,2472,1.113,1.752,1.217,130.62,128.91,293,276,301,317,298,331,325,331
332,2468,1.114,1.752,1.215,130.78,129.66,288,273,303,319,302,331,323,329
333,2463,1.114,1.752,1.216,131.02,130.12,288,273,301,316,299,332,326,328
334,2457,1.116,1.752,1.218,131.13,130.83,288,271,304,312,302,332,325,323
335,2452,1.114,1.750,1.219,131.34,131.35,287,273,300,315,301,331,321,324
