Zeitschritt,X,Y,Umgebung,Anpassung,Effizienz,Mobilitaet,Energie,Alter,Lebendig
2000,0,0,SUMPF,0.500,2.000,2.000,129.38,23,true
2000,0,1,GRASLAND,0.500,2.000,2.000,200.00,41,true
2000,0,2,SUMPF,0.500,1.552,2.000,200.00,159,true
2000,0,3,GRASLAND,0.628,1.084,1.218,102.50,8,true
2000,0,4,WÜSTE,0.628,0.802,0.944,89.43,1,true
2000,0,5,VULKAN,0.703,1.794,2.000,56.99,6,true
2000,0,6,WÜSTE,0.763,1.794,2.000,22.34,9,true
2000,0,7,SUMPF,0.987,2.000,1.851,200.00,308,true
2000,0,8,SUMPF,1.210,2.000,1.033,200.00,169,true
2000,0,9,GRASLAND,0.987,1.245,1.851,191.39,249,true
2000,0,10,VULKAN,0.891,1.455,1.198,180.74,1800,true
2000,0,11,TUNDRA,0.661,1.793,0.938,182.03,857,true
2000,0,12,WÜSTE,2.000,2.000,1.371,46.45,25,true
2000,0,13,TUNDRA,2.000,2.000,1.578,196.39,234,true
2000,0,14,WÜSTE,1.249,1.576,2.000,85.11,2,true
2000,0,15,SUMPF,1.249,2.000,2.000,75.82,61,true
2000,0,16,TUNDRA,1.736,2.000,2.000,197.41,502,true
2000,0,17,OZEAN,1.736,1.271,1.976,200.00,470,true
2000,0,18,OZEAN,1.305,2.000,0.518,200.00,757,true
2000,0,19,VULKAN,1.894,2.000,0.825,157.00,128,true
2000,0,20,VULKAN,0.960,2.000,1.014,65.60,4,true
2000,0,21,WALD,1.388,2.000,1.014,200.00,105,true
2000,0,22,TUNDRA,1.466,2.000,1.014,61.63,53,true
2000,0,23,TUNDRA,0.732,2.000,1.357,42.69,195,true
2000,0,24,SUMPF,0.732,2.000,1.758,200.00,277,true
2000,0,25,VULKAN,1.314,2.000,1.717,22.60,9,true
2000,0,26,TUNDRA,0.945,2.000,1.717,90.10,62,true
2000,0,27,OZEAN,0.500,2.000,1.267,151.27,115,true
2000,0,28,WALD,0.500,2.000,1.267,200.00,142,true
2000,0,29,WALD,0.698,2.000,1.267,200.00,137,true
2000,0,30,GEBIRGE,0.904,2.000,1.267,67.32,31,true
2000,0,31,WÜSTE,1.200,2.000,1.267,100.00,0,true
2000,0,32,WALD,0.888,2.000,1.267,150.00,42,true
2000,0,33,WÜSTE,0.888,2.000,1.267,75.37,4,true
2000,0,34,OZEAN,0.888,2.000,1.267,82.21,14,true
2000,0,35,WÜSTE,0.522,1.865,1.443,160.42,902,true
2000,0,36,WALD,1.188,1.841,1.199,200.00,1915,true
2000,0,37,WALD,0.909,2.000,1.696,200.00,750,true
2000,0,38,GEBIRGE,0.500,1.378,1.646,87.25,4,true
2000,0,39,WÜSTE,0.500,2.000,1.765,119.45,182,true
2000,0,40,OZEAN,0.678,1.156,0.526,97.31,3,true
2000,0,41,SUMPF,0.781,1.967,0.672,200.00,244,true
2000,0,42,GEBIRGE,0.781,1.967,0.738,200.00,228,true
2000,0,43,GRASLAND,1.317,2.000,0.542,200.00,1760,true
2000,0,44,GEBIRGE,0.635,1.683,2.000,118.95,238,true
2000,0,45,GRASLAND,0.861,1.683,1.754,162.97,83,true
2000,0,46,OZEAN,0.861,1.683,1.754,200.00,199,true
2000,0,47,OZEAN,0.586,1.683,1.754,200.00,129,true
2000,0,48,GRASLAND,0.646,1.683,2.000,80.00,54,true
2000,0,49,WÜSTE,0.656,1.552,2.000,18.45,209,true
2000,1,0,WÜSTE,0.500,1.625,2.000,48.69,7,true
2000,1,1,WALD,0.500,1.552,2.000,200.00,225,true
2000,1,2,OZEAN,0.500,1.552,2.000,200.00,258,true
2000,1,3,GRASLAND,0.628,1.084,1.218,185.32,68,true
2000,1,4,TUNDRA,0.500,1.743,0.738,29.47,26,true
2000,1,5,OZEAN,0.763,1.794,2.000,88.01,62,true
2000,1,7,GRASLAND,0.896,1.939,1.589,200.00,576,true
2000,1,9,GEBIRGE,0.896,2.000,1.550,200.00,435,true
2000,1,10,TUNDRA,1.499,2.000,0.940,88.24,22,true
2000,1,11,OZEAN,2.000,2.000,1.305,200.00,372,true
2000,1,12,WÜSTE,2.000,2.000,0.904,100.00,0,true
2000,1,13,WALD,2.000,2.000,1.371,150.00,106,true
2000,1,14,VULKAN,1.249,2.000,2.000,22.60,9,true
2000,1,15,GEBIRGE,1.736,2.000,2.000,173.48,109,true
2000,1,16,OZEAN,1.736,2.000,2.000,120.77,2,true
2000,1,17,WALD,1.305,2.000,0.583,200.00,758,true
2000,1,18,SUMPF,0.842,2.000,1.100,200.00,1532,true
2000,1,19,TUNDRA,1.894,2.000,0.825,2.04,120,true
2000,1,20,WÜSTE,1.902,2.000,1.236,51.75,18,true
2000,1,21,WALD,1.048,1.859,1.026,200.00,91,true
2000,1,22,WÜSTE,1.388,1.813,1.014,8.05,15,true
2000,1,23,TUNDRA,1.388,2.000,1.014,39.69,82,true
2000,1,24,TUNDRA,0.883,2.000,1.357,39.40,218,true
2000,1,25,SUMPF,0.945,2.000,1.717,200.00,111,true
2000,1,26,TUNDRA,0.500,2.000,1.535,74.49,92,true
2000,1,27,SUMPF,0.500,1.668,1.267,155.21,63,true
2000,1,28,TUNDRA,0.500,2.000,1.267,60.55,78,true
2000,1,29,VULKAN,0.956,2.000,1.267,82.80,2,true
2000,1,30,TUNDRA,0.682,2.000,1.267,56.45,87,true
2000,1,31,GEBIRGE,0.500,2.000,2.000,200.00,252,true
2000,1,32,OZEAN,1.641,2.000,1.622,200.00,545,true
2000,1,33,GRASLAND,1.641,2.000,0.936,200.00,208,true
2000,1,34,WALD,1.641,2.000,0.936,200.00,198,true
2000,1,35,GRASLAND,0.500,2.000,1.765,200.00,328,true
2000,1,36,OZEAN,0.688,2.000,1.696,200.00,765,true
2000,1,37,OZEAN,0.500,2.000,1.765,175.92,52,true
2000,1,38,TUNDRA,0.598,2.000,1.765,82.82,112,true
2000,1,39,OZEAN,0.500,2.000,1.765,200.00,126,true
2000,1,40,WÜSTE,0.505,2.000,1.604,25.60,12,true
2000,1,41,SUMPF,0.678,1.515,0.672,162.39,112,true
2000,1,42,WALD,0.678,1.843,0.672,200.00,76,true
2000,1,43,WÜSTE,0.662,1.843,0.672,0.07,15,true
2000,1,44,WALD,0.635,1.967,1.201,200.00,394,true
2000,1,45,VULKAN,0.748,1.683,1.754,90.83,1,true
2000,1,46,OZEAN,0.616,1.683,2.000,200.00,168,true
2000,1,47,TUNDRA,0.861,2.000,1.754,81.46,125,true
2000,1,48,TUNDRA,0.564,1.683,2.000,179.83,177,true
2000,1,49,GEBIRGE,0.500,2.000,2.000,101.28,1,true
2000,2,0,TUNDRA,0.656,1.369,1.257,89.74,2,true
2000,2,1,GRASLAND,0.656,1.369,1.257,79.05,83,true
2000,2,2,SUMPF,0.628,1.084,1.218,106.01,13,true
2000,2,3,OZEAN,0.500,1.743,2.000,200.00,186,true
2000,2,4,SUMPF,0.806,2.000,0.500,200.00,720,true
2000,2,5,SUMPF,0.763,1.794,2.000,101.38,77,true
2000,2,6,WÜSTE,0.763,1.794,2.000,25.10,11,true
2000,2,7,GRASLAND,1.210,2.000,1.033,200.00,185,true
2000,2,8,GEBIRGE,1.499,2.000,0.778,90.29,115,true
2000,2,9,WÜSTE,1.210,2.000,1.033,183.64,165,true
2000,2,10,WÜSTE,2.000,2.000,1.727,61.83,20,true
2000,2,11,WÜSTE,2.000,2.000,1.949,98.17,1,true
2000,2,12,OZEAN,2.000,2.000,1.949,200.00,137,true
2000,2,13,WALD,2.000,2.000,1.830,200.00,126,true
2000,2,14,OZEAN,2.000,2.000,1.305,200.00,331,true
2000,2,15,WÜSTE,1.736,2.000,2.000,85.34,5,true
2000,2,16,GEBIRGE,1.736,2.000,2.000,56.51,26,true
2000,2,17,TUNDRA,1.894,2.000,1.014,70.77,247,true
2000,2,18,WÜSTE,1.894,2.000,0.825,13.76,27,true
2000,2,19,GRASLAND,1.388,2.000,1.014,200.00,348,true
2000,2,20,SUMPF,1.388,2.000,1.026,200.00,130,true
2000,2,21,WALD,1.048,1.859,1.026,150.00,72,true
2000,2,22,VULKAN,0.655,2.000,1.026,57.00,5,true
2000,2,23,WÜSTE,0.982,2.000,1.717,83.15,3,true
2000,2,24,WALD,0.982,2.000,1.717,200.00,81,true
2000,2,25,WALD,0.945,2.000,1.425,200.00,57,true
2000,2,26,OZEAN,0.500,1.668,1.267,88.85,54,true
2000,2,27,WÜSTE,0.500,1.668,0.912,92.81,1,true
2000,2,28,SUMPF,1.465,1.566,0.791,200.00,623,true
2000,2,29,OZEAN,0.693,2.000,0.965,123.98,77,true
2000,2,30,TUNDRA,0.500,2.000,1.814,181.54,267,true
2000,2,31,SUMPF,0.618,1.629,1.549,200.00,397,true
2000,2,32,WÜSTE,2.000,2.000,1.071,40.93,24,true
2000,2,33,VULKAN,1.984,2.000,0.970,25.28,9,true
2000,2,34,GEBIRGE,1.641,2.000,1.157,97.34,38,true
2000,2,35,OZEAN,1.188,1.405,1.377,200.00,1673,true
2000,2,36,SUMPF,0.688,2.000,1.696,200.00,676,true
2000,2,37,SUMPF,0.500,2.000,1.765,200.00,195,true
2000,2,38,WALD,0.500,2.000,1.765,200.00,121,true
2000,2,39,GRASLAND,0.874,1.401,0.948,200.00,733,true
2000,2,40,TUNDRA,0.500,2.000,2.000,92.81,84,true
2000,2,41,OZEAN,1.317,2.000,0.542,200.00,1687,true
2000,2,42,GRASLAND,0.569,1.719,1.765,200.00,199,true
2000,2,43,SUMPF,0.678,1.843,0.672,150.00,57,true
2000,2,44,GRASLAND,0.861,1.122,1.754,157.19,25,true
2000,2,45,TUNDRA,0.635,1.645,2.000,136.85,384,true
2000,2,46,TUNDRA,0.514,2.000,1.427,92.15,22,true
2000,2,47,TUNDRA,0.616,2.000,2.000,95.63,53,true
2000,2,48,SUMPF,0.514,1.030,1.028,97.85,18,true
2000,2,49,WÜSTE,0.500,2.000,1.399,19.40,13,true
2000,3,1,TUNDRA,0.856,1.369,1.257,43.67,11,true
2000,3,2,VULKAN,0.656,1.255,1.257,69.74,3,true
2000,3,3,WALD,0.628,0.974,1.218,62.14,24,true
2000,3,4,TUNDRA,0.763,1.794,2.000,100.00,0,true
2000,3,5,OZEAN,0.500,1.552,2.000,104.81,116,true
2000,3,6,SUMPF,0.532,2.000,0.500,200.00,662,true
2000,3,7,VULKAN,1.491,2.000,1.363,82.80,2,true
2000,3,8,OZEAN,0.896,2.000,1.550,200.00,301,true
2000,3,9,SUMPF,1.098,2.000,1.550,200.00,132,true
2000,3,10,VULKAN,1.460,2.000,1.949,57.98,7,true
2000,3,11,TUNDRA,2.000,2.000,1.949,61.13,94,true
2000,3,12,GEBIRGE,2.000,2.000,1.949,64.20,46,true
2000,3,13,WÜSTE,2.000,2.000,2.000,94.53,3,true
2000,3,14,VULKAN,2.000,2.000,1.830,32.00,9,true
2000,3,15,GEBIRGE,1.515,2.000,1.305,200.00,277,true
2000,3,16,GRASLAND,2.000,2.000,1.422,200.00,684,true
2000,3,17,WÜSTE,1.736,2.000,2.000,100.00,0,true
2000,3,18,OZEAN,1.660,1.263,1.014,200.00,215,true
2000,3,19,WÜSTE,1.338,2.000,1.026,53.41,9,true
2000,3,20,WÜSTE,1.388,2.000,1.026,24.99,15,true
2000,3,21,VULKAN,1.048,1.678,0.936,100.00,0,true
2000,3,22,VULKAN,1.048,1.859,1.026,64.62,4,true
2000,3,23,WALD,1.025,2.000,1.724,200.00,193,true
2000,3,24,WÜSTE,0.895,2.000,1.717,18.61,14,true
2000,3,25,VULKAN,0.982,2.000,1.538,14.00,10,true
2000,3,26,TUNDRA,0.699,2.000,1.425,96.12,11,true
2000,3,27,WÜSTE,0.652,1.668,1.267,78.42,3,true
2000,3,28,WÜSTE,0.693,2.000,0.965,56.60,7,true
2000,3,29,OZEAN,0.672,1.844,2.000,200.00,630,true
2000,3,30,WÜSTE,0.677,1.389,0.626,2.74,12,true
2000,3,31,OZEAN,1.641,2.000,0.925,200.00,267,true
2000,3,32,TUNDRA,0.838,1.411,0.865,1.03,360,true
2000,3,33,WALD,1.641,2.000,0.936,200.00,110,true
2000,3,34,GRASLAND,0.500,1.649,1.696,200.00,975,true
2000,3,35,TUNDRA,0.500,2.000,1.765,88.30,75,true
2000,3,36,SUMPF,0.500,2.000,1.765,200.00,150,true
2000,3,37,VULKAN,0.500,1.045,1.765,46.70,5,true
2000,3,38,WALD,0.500,2.000,1.765,200.00,7,true
2000,3,39,VULKAN,0.500,2.000,1.769,57.00,5,true
2000,3,40,OZEAN,0.569,2.000,1.765,200.00,371,true
2000,3,41,WÜSTE,0.569,1.141,1.896,18.86,9,true
2000,3,42,WALD,0.569,1.719,1.765,200.00,252,true
2000,3,43,VULKAN,0.531,1.843,0.672,100.00,0,true
2000,3,44,GRASLAND,0.652,1.719,1.263,200.00,167,true
2000,3,45,WÜSTE,0.861,1.122,1.754,54.54,5,true
2000,3,46,GRASLAND,0.635,1.620,1.799,200.00,523,true
2000,3,47,SUMPF,0.514,1.683,1.427,117.45,110,true
2000,3,48,GEBIRGE,0.912,1.993,2.000,200.00,1275,true
2000,3,49,WÜSTE,0.564,1.293,2.000,24.01,9,true
2000,4,0,WÜSTE,0.656,1.369,1.011,100.00,0,true
2000,4,1,TUNDRA,0.678,2.000,2.000,155.97,501,true
2000,4,2,VULKAN,0.500,1.552,2.000,64.60,213,true
2000,4,3,VULKAN,0.500,1.642,2.000,72.26,3,true
2000,4,4,VULKAN,0.628,1.212,1.218,100.00,0,true
2000,4,5,VULKAN,1.897,2.000,1.138,44.99,7,true
2000,4,6,WÜSTE,1.897,2.000,1.138,88.75,4,true
2000,4,7,SUMPF,1.465,2.000,1.363,134.45,90,true
2000,4,8,GRASLAND,1.098,2.000,1.719,200.00,16,true
2000,4,9,GRASLAND,1.057,1.271,1.132,200.00,304,true
2000,4,10,OZEAN,1.057,1.271,1.132,200.00,288,true
2000,4,11,GRASLAND,1.057,1.769,1.132,200.00,179,true
2000,4,12,GEBIRGE,2.000,2.000,1.949,100.00,0,true
2000,4,13,WÜSTE,2.000,2.000,1.803,114.73,547,true
2000,4,14,OZEAN,1.515,2.000,1.305,200.00,252,true
2000,4,15,GEBIRGE,0.901,1.923,1.255,200.00,1761,true
2000,4,16,GEBIRGE,1.736,2.000,2.000,144.60,405,true
2000,4,17,TUNDRA,2.000,2.000,1.422,181.08,585,true
2000,4,18,SUMPF,1.013,1.719,0.520,200.00,1915,true
2000,4,19,OZEAN,1.338,2.000,1.026,200.00,92,true
2000,4,20,GEBIRGE,0.748,1.789,0.500,155.17,496,true
2000,4,21,TUNDRA,1.048,1.859,1.026,48.09,20,true
2000,4,22,GRASLAND,0.982,2.000,0.500,200.00,522,true
2000,4,23,WÜSTE,1.027,2.000,1.704,6.25,17,true
2000,4,24,GEBIRGE,1.363,1.411,0.500,75.05,244,true
2000,4,25,GRASLAND,1.363,1.411,0.500,200.00,238,true
2000,4,26,VULKAN,1.363,1.078,0.500,31.01,229,true
2000,4,27,VULKAN,0.982,1.606,1.717,90.68,1,true
2000,4,28,SUMPF,0.838,1.411,0.500,200.00,453,true
2000,4,29,SUMPF,0.838,1.411,0.865,200.00,443,true
2000,4,30,TUNDRA,0.629,2.000,2.000,15.97,650,true
2000,4,31,SUMPF,0.967,2.000,1.531,166.56,113,true
2000,4,32,VULKAN,1.461,2.000,0.936,14.00,10,true
2000,4,33,GEBIRGE,0.500,2.000,1.989,200.00,419,true
2000,4,34,OZEAN,1.251,2.000,1.489,200.00,1134,true
2000,4,35,WALD,0.519,2.000,2.000,200.00,657,true
2000,4,36,WÜSTE,0.500,2.000,2.000,100.00,0,true
2000,4,37,GRASLAND,0.500,1.340,1.765,68.65,51,true
2000,4,38,VULKAN,0.500,1.283,1.765,122.84,153,true
2000,4,39,SUMPF,0.500,2.000,1.765,200.00,275,true
2000,4,40,TUNDRA,0.688,2.000,1.842,10.73,687,true
2000,4,41,OZEAN,0.569,1.719,1.896,83.35,81,true
2000,4,42,GEBIRGE,0.759,1.719,1.896,100.00,0,true
2000,4,43,TUNDRA,0.694,1.996,1.896,101.21,14,true
2000,4,44,WÜSTE,0.500,1.210,1.625,91.25,1,true
2000,4,45,VULKAN,0.514,1.683,1.427,72.49,3,true
2000,4,46,OZEAN,0.514,1.683,1.427,77.18,103,true
2000,4,47,VULKAN,0.614,2.000,1.427,14.00,10,true
2000,4,48,SUMPF,0.974,1.993,2.000,200.00,1100,true
2000,4,49,WALD,0.564,1.683,2.000,200.00,28,true
2000,5,0,GEBIRGE,0.500,2.000,0.633,87.16,144,true
2000,5,1,SUMPF,0.551,2.000,0.633,200.00,478,true
2000,5,2,TUNDRA,0.500,2.000,0.633,41.79,58,true
2000,5,3,WALD,0.500,1.642,2.000,97.84,38,true
2000,5,4,WÜSTE,1.897,2.000,1.138,66.24,12,true
2000,5,5,WALD,1.897,2.000,1.138,180.82,49,true
2000,5,6,SUMPF,1.897,2.000,1.363,200.00,72,true
2000,5,7,VULKAN,1.465,2.000,1.363,65.60,4,true
2000,5,8,OZEAN,0.532,2.000,0.514,200.00,483,true
2000,5,9,VULKAN,1.098,2.000,1.550,3.80,40,true
2000,5,10,WÜSTE,1.345,1.676,1.132,64.85,5,true
2000,5,11,GEBIRGE,1.128,1.676,1.132,56.31,57,true
2000,5,12,OZEAN,1.057,1.676,1.132,200.00,285,true
2000,5,13,GRASLAND,2.000,2.000,1.305,200.00,329,true
2000,5,14,SUMPF,1.918,1.921,0.541,200.00,1581,true
2000,5,15,GEBIRGE,2.000,2.000,2.000,200.00,948,true
2000,5,16,GEBIRGE,2.000,2.000,1.803,200.00,475,true
2000,5,17,OZEAN,1.660,1.263,1.014,200.00,155,true
2000,5,18,OZEAN,0.765,1.409,0.500,200.00,1925,true
2000,5,19,OZEAN,1.400,2.000,0.722,200.00,375,true
2000,5,20,TUNDRA,1.338,2.000,1.026,68.72,43,true
2000,5,21,SUMPF,2.000,2.000,0.682,200.00,231,true
2000,5,22,OZEAN,1.260,2.000,0.500,200.00,492,true
2000,5,23,WALD,0.992,1.411,0.658,200.00,201,true
2000,5,24,SUMPF,1.027,2.000,1.724,200.00,83,true
2000,5,25,TUNDRA,0.500,1.959,2.000,175.65,518,true
2000,5,26,WALD,0.982,2.000,1.717,168.57,23,true
2000,5,27,GRASLAND,1.144,1.851,0.640,200.00,751,true
2000,5,28,OZEAN,1.418,1.078,0.696,112.02,204,true
2000,5,29,GEBIRGE,0.967,2.000,1.252,100.47,108,true
2000,5,30,SUMPF,0.781,1.262,1.531,104.30,2,true
2000,5,31,TUNDRA,0.769,2.000,1.313,83.76,36,true
2000,5,32,OZEAN,0.500,2.000,1.989,200.00,348,true
2000,5,33,OZEAN,0.519,2.000,2.000,200.00,561,true
2000,5,34,OZEAN,0.545,2.000,1.514,200.00,279,true
2000,5,35,SUMPF,0.519,2.000,2.000,200.00,582,true
2000,5,36,OZEAN,0.500,2.000,2.000,150.00,50,true
2000,5,37,TUNDRA,0.829,2.000,2.000,26.72,513,true
2000,5,38,VULKAN,0.682,1.340,1.765,90.12,1,true
2000,5,39,GEBIRGE,0.959,2.000,0.994,200.00,1024,true
2000,5,40,WALD,0.568,2.000,1.765,200.00,402,true
2000,5,41,WALD,0.569,1.719,1.765,200.00,368,true
2000,5,42,GEBIRGE,0.569,2.000,1.896,80.92,57,true
2000,5,43,GRASLAND,0.500,1.830,1.765,111.29,294,true
2000,5,44,GEBIRGE,0.500,1.683,2.000,28.59,71,true
2000,5,45,WALD,0.500,1.683,1.968,113.80,97,true
2000,5,46,WALD,0.514,1.683,1.251,200.00,70,true
2000,5,47,GEBIRGE,0.635,1.645,1.647,65.24,311,true
2000,5,48,GEBIRGE,0.503,2.000,2.000,125.12,134,true
2000,5,49,SUMPF,0.500,2.000,2.000,200.00,154,true
2000,6,0,GEBIRGE,0.500,2.000,0.633,200.00,259,true
2000,6,1,OZEAN,0.551,2.000,0.633,200.00,558,true
2000,6,2,WÜSTE,0.500,1.642,2.000,63.61,5,true
2000,6,3,VULKAN,0.500,1.642,2.000,26.02,8,true
2000,6,4,SUMPF,0.500,2.000,0.537,200.00,228,true
2000,6,5,VULKAN,1.449,2.000,1.138,82.80,2,true
2000,6,6,TUNDRA,2.000,1.785,1.363,19.26,50,true
2000,6,7,SUMPF,1.543,2.000,1.760,200.00,76,true
2000,6,8,GRASLAND,0.532,2.000,0.514,200.00,440,true
2000,6,9,TUNDRA,1.098,2.000,1.469,97.32,9,true
2000,6,10,GRASLAND,1.817,1.927,0.923,200.00,694,true
2000,6,11,GEBIRGE,1.918,1.921,0.591,200.00,1616,true
2000,6,12,GRASLAND,1.128,1.676,1.132,200.00,167,true
