Zeitschritt,X,Y,Umgebung,Anpassung,Effizienz,Mobilitaet,Energie,Alter,Lebendig
400,0,0,SUMPF,0.500,1.538,0.912,200.00,188,true
400,0,1,GRASLAND,0.780,1.213,1.018,200.00,344,true
400,0,2,SUMPF,0.918,1.354,1.009,200.00,348,true
400,0,3,GRASLAND,0.500,1.538,1.245,168.79,48,true
400,0,4,WÜSTE,0.600,1.538,0.805,61.95,5,true
400,0,5,VULKAN,0.644,2.000,1.127,91.40,1,true
400,0,6,WÜSTE,0.844,2.000,1.127,25.60,12,true
400,0,7,SUMPF,0.716,2.000,1.127,119.75,95,true
400,0,8,SUMPF,1.042,2.000,1.009,200.00,239,true
400,0,9,GRASLAND,1.042,2.000,1.127,200.00,31,true
400,0,10,VULKAN,1.042,2.000,1.127,31.20,8,true
400,0,11,TUNDRA,0.517,1.960,0.864,30.37,57,true
400,0,12,WÜSTE,0.576,1.960,0.864,62.10,6,true
400,0,13,TUNDRA,0.576,1.960,0.864,10.94,73,true
400,0,14,WÜSTE,0.607,2.000,0.982,93.80,1,true
400,0,15,SUMPF,0.783,1.600,0.741,200.00,196,true
400,0,16,TUNDRA,0.683,2.000,0.673,59.12,35,true
400,0,17,OZEAN,0.500,2.000,0.710,200.00,239,true
400,0,18,OZEAN,0.500,2.000,0.710,200.00,335,true
400,0,19,VULKAN,0.500,2.000,0.681,5.40,11,true
400,0,20,VULKAN,0.638,2.000,1.088,82.80,2,true
400,0,21,WALD,0.638,2.000,1.088,58.19,110,true
400,0,22,TUNDRA,0.638,2.000,1.088,196.49,203,true
400,0,23,TUNDRA,0.638,1.869,1.158,153.91,348,true
400,0,24,SUMPF,0.500,1.264,1.343,53.87,25,true
400,0,25,VULKAN,0.861,2.000,0.945,6.14,33,true
400,0,26,TUNDRA,0.684,1.617,1.063,69.59,9,true
400,0,27,OZEAN,1.433,1.176,0.812,131.54,159,true
400,0,28,WALD,1.131,2.000,0.869,137.73,30,true
400,0,29,WALD,1.131,2.000,0.869,200.00,18,true
400,0,30,GEBIRGE,1.433,1.176,0.844,7.83,23,true
400,0,32,WALD,1.430,1.928,1.550,200.00,184,true
400,0,33,WÜSTE,1.387,1.586,1.418,78.45,3,true
400,0,34,OZEAN,1.218,1.269,0.886,200.00,335,true
400,0,35,WÜSTE,1.430,1.286,2.000,40.72,7,true
400,0,36,WALD,1.430,1.749,1.733,148.90,51,true
400,0,37,WALD,1.430,1.749,1.733,166.30,46,true
400,0,38,GEBIRGE,1.430,1.586,1.733,53.25,114,true
400,0,39,WÜSTE,1.565,1.586,1.733,5.30,15,true
400,0,40,OZEAN,1.124,1.586,2.000,100.35,44,true
400,0,41,SUMPF,0.675,1.440,1.013,200.00,171,true
400,0,42,GEBIRGE,0.675,1.658,0.769,184.66,318,true
400,0,43,GRASLAND,0.630,1.948,0.769,200.00,169,true
400,0,44,GEBIRGE,0.897,1.703,1.139,100.00,0,true
400,0,45,GRASLAND,0.897,1.703,1.139,150.00,39,true
400,0,46,OZEAN,0.897,1.703,1.253,192.84,44,true
400,0,47,OZEAN,0.661,2.000,1.066,200.00,181,true
400,0,48,GRASLAND,0.654,1.996,1.066,200.00,47,true
400,0,49,WÜSTE,0.500,1.996,1.066,50.30,8,true
400,1,0,WÜSTE,0.500,1.538,1.435,92.39,1,true
400,1,1,WALD,0.500,1.538,1.435,121.68,34,true
400,1,2,OZEAN,0.500,1.538,0.943,176.47,55,true
400,1,3,GRASLAND,0.500,1.426,1.021,200.00,180,true
400,1,4,TUNDRA,0.500,1.841,1.101,3.59,56,true
400,1,5,OZEAN,0.500,1.426,1.121,86.46,64,true
400,1,6,VULKAN,0.785,2.000,1.127,74.20,3,true
400,1,7,GRASLAND,0.716,2.000,1.127,197.20,50,true
400,1,8,SUMPF,1.042,2.000,1.127,200.00,105,true
400,1,9,GEBIRGE,0.684,2.000,1.127,85.05,51,true
400,1,10,TUNDRA,1.042,2.000,0.840,85.38,15,true
400,1,11,OZEAN,0.500,1.960,0.719,87.40,73,true
400,1,12,WÜSTE,0.500,1.245,0.719,48.30,6,true
400,1,13,WALD,0.607,1.960,0.982,152.30,59,true
400,1,14,VULKAN,0.607,1.960,0.982,73.99,3,true
400,1,15,GEBIRGE,0.500,1.891,0.864,98.21,198,true
400,1,16,OZEAN,0.683,2.000,0.673,170.34,39,true
400,1,17,WALD,0.500,2.000,0.681,200.00,47,true
400,1,18,SUMPF,0.500,2.000,0.681,200.00,144,true
400,1,19,TUNDRA,0.638,2.000,1.664,90.98,47,true
400,1,20,WÜSTE,0.638,2.000,1.088,100.00,0,true
400,1,21,WALD,0.638,2.000,1.316,171.92,4,true
400,1,23,TUNDRA,0.638,2.000,1.316,95.30,17,true
400,1,24,TUNDRA,0.500,1.264,1.063,34.60,11,true
400,1,25,SUMPF,0.500,1.264,1.063,61.49,6,true
400,1,26,TUNDRA,0.500,1.264,1.370,88.22,2,true
400,1,27,SUMPF,1.094,1.176,0.812,95.56,129,true
400,1,28,TUNDRA,1.131,1.604,0.945,67.65,9,true
400,1,29,VULKAN,1.131,2.000,0.869,82.80,2,true
400,1,30,TUNDRA,0.766,2.000,1.006,56.41,70,true
400,1,31,GEBIRGE,0.824,2.000,1.825,57.67,45,true
400,1,32,OZEAN,0.681,2.000,1.451,144.59,136,true
400,1,33,GRASLAND,1.603,1.586,1.418,185.91,29,true
400,1,34,WALD,1.603,1.586,1.418,200.00,53,true
400,1,35,GRASLAND,1.783,1.586,1.955,200.00,59,true
400,1,36,OZEAN,1.218,1.269,0.886,200.00,313,true
400,1,37,OZEAN,1.430,2.000,1.733,200.00,39,true
400,1,38,TUNDRA,0.993,1.928,2.000,112.54,317,true
400,1,39,OZEAN,1.124,1.586,1.733,168.82,81,true
400,1,40,WÜSTE,1.305,1.586,2.000,42.45,8,true
400,1,41,SUMPF,1.473,1.972,1.461,200.00,14,true
400,1,42,WALD,0.500,1.213,0.868,200.00,329,true
400,1,43,WÜSTE,0.579,1.937,1.180,10.61,14,true
400,1,44,WALD,0.630,1.948,0.769,200.00,194,true
400,1,45,VULKAN,0.897,1.703,1.139,26.96,8,true
400,1,46,OZEAN,0.675,1.658,1.209,200.00,326,true
400,1,47,TUNDRA,0.654,2.000,1.066,71.76,43,true
400,1,48,TUNDRA,0.675,2.000,1.539,65.71,194,true
400,1,49,GEBIRGE,0.654,1.996,1.066,104.95,35,true
400,2,0,TUNDRA,0.500,1.538,1.532,78.74,6,true
400,2,1,GRASLAND,0.500,1.538,1.435,134.39,3,true
400,2,2,SUMPF,0.640,1.213,1.021,200.00,362,true
400,2,3,OZEAN,0.500,1.426,1.021,161.69,166,true
400,2,4,SUMPF,0.500,1.426,1.121,200.00,161,true
400,2,5,SUMPF,0.500,1.426,1.121,160.88,79,true
400,2,6,WÜSTE,0.716,2.000,1.127,62.80,6,true
400,2,7,GRASLAND,0.792,1.641,0.650,200.00,237,true
400,2,8,GEBIRGE,0.792,2.000,0.650,200.00,228,true
400,2,9,WÜSTE,1.042,2.000,1.461,32.50,12,true
400,2,10,WÜSTE,0.668,2.000,0.887,87.60,2,true
400,2,11,WÜSTE,0.500,1.960,0.719,74.73,4,true
400,2,12,OZEAN,0.845,2.000,0.893,200.00,350,true
400,2,13,WALD,0.500,1.960,0.864,200.00,192,true
400,2,14,OZEAN,0.800,1.960,0.982,98.46,36,true
400,2,15,WÜSTE,0.683,2.000,0.673,31.80,11,true
400,2,16,GEBIRGE,0.783,2.000,0.864,162.22,165,true
400,2,17,TUNDRA,0.683,2.000,0.500,69.81,23,true
400,2,18,WÜSTE,0.500,2.000,0.711,38.00,10,true
400,2,19,GRASLAND,0.500,2.000,0.851,200.00,14,true
400,2,20,SUMPF,0.638,2.000,1.316,118.93,34,true
400,2,21,WALD,0.638,2.000,1.316,200.00,25,true
400,2,22,VULKAN,0.500,2.000,1.243,48.40,6,true
400,2,23,WÜSTE,0.504,2.000,1.374,31.80,11,true
400,2,24,WALD,0.500,1.264,1.063,126.16,32,true
400,2,25,WALD,0.684,1.264,1.063,149.20,83,true
400,2,26,OZEAN,0.684,1.264,1.058,55.33,32,true
400,2,27,WÜSTE,0.684,1.264,1.063,43.28,8,true
400,2,28,SUMPF,1.738,1.176,1.091,108.11,42,true
400,2,29,OZEAN,0.711,1.532,1.158,200.00,321,true
400,2,30,TUNDRA,0.733,1.928,1.550,100.00,0,true
400,2,31,SUMPF,1.430,1.928,1.550,200.00,181,true
400,2,32,WÜSTE,1.603,1.586,1.418,17.40,13,true
400,2,33,VULKAN,1.603,1.586,1.418,15.79,9,true
400,2,34,GEBIRGE,1.135,1.928,1.550,200.00,291,true
400,2,35,OZEAN,1.102,2.000,1.656,200.00,51,true
400,2,36,SUMPF,1.135,1.928,1.290,200.00,316,true
400,2,37,SUMPF,1.365,2.000,1.290,200.00,308,true
400,2,38,WALD,1.235,1.357,0.936,200.00,318,true
400,2,39,GRASLAND,0.525,0.872,1.567,200.00,317,true
400,2,40,TUNDRA,1.124,1.586,1.733,18.28,27,true
400,2,41,OZEAN,1.473,1.972,1.461,200.00,45,true
400,2,42,GRASLAND,0.675,1.658,0.769,200.00,325,true
400,2,43,SUMPF,0.500,1.658,1.348,200.00,320,true
400,2,44,GRASLAND,0.579,1.937,1.253,177.80,40,true
400,2,45,TUNDRA,0.711,1.937,1.253,16.06,47,true
400,2,46,TUNDRA,0.675,1.658,2.000,95.65,337,true
400,2,47,TUNDRA,0.579,1.937,1.170,93.96,6,true
400,2,48,SUMPF,0.675,2.000,1.539,200.00,242,true
400,2,49,WÜSTE,0.500,1.538,0.882,20.24,14,true
400,3,0,TUNDRA,0.500,1.538,1.435,86.58,64,true
400,3,1,TUNDRA,0.500,1.538,1.435,92.77,2,true
400,3,2,VULKAN,0.500,1.538,1.435,65.18,4,true
400,3,3,WALD,0.624,1.538,1.204,200.00,135,true
400,3,4,TUNDRA,0.624,2.000,1.204,63.56,64,true
400,3,5,OZEAN,0.500,1.426,1.121,75.72,100,true
400,3,6,SUMPF,0.546,1.641,0.650,200.00,203,true
400,3,7,VULKAN,0.668,2.000,1.192,100.00,0,true
400,3,8,OZEAN,0.792,2.000,1.009,200.00,363,true
400,3,9,SUMPF,0.668,2.000,0.887,147.62,40,true
400,3,10,VULKAN,0.668,1.933,0.887,47.71,6,true
400,3,11,TUNDRA,0.500,1.960,0.805,61.33,30,true
400,3,12,GEBIRGE,0.500,1.751,0.805,73.94,41,true
400,3,13,WÜSTE,0.800,1.960,0.982,87.37,2,true
400,3,14,VULKAN,0.800,1.960,0.982,91.33,1,true
400,3,15,GEBIRGE,1.393,1.829,0.546,200.00,338,true
400,3,16,GRASLAND,0.845,2.000,0.893,200.00,330,true
400,3,17,WÜSTE,0.870,2.000,0.745,187.60,168,true
400,3,18,OZEAN,0.638,2.000,1.088,200.00,199,true
400,3,19,WÜSTE,0.638,2.000,1.367,7.00,15,true
400,3,20,WÜSTE,0.500,2.000,0.851,62.80,6,true
400,3,21,VULKAN,0.638,2.000,1.316,42.80,7,true
400,3,22,VULKAN,0.562,2.000,1.586,100.00,0,true
400,3,23,WALD,0.500,2.000,1.229,150.00,65,true
400,3,24,WÜSTE,0.653,1.264,1.063,0.40,12,true
