Zeitschritt,X,Y,Umgebung,Anpassung,Effizienz,Mobilitaet,Energie,Alter,Lebendig
1200,0,0,SUMPF,1.574,1.359,1.880,200.00,671,true
1200,0,1,GRASLAND,2.000,1.938,2.000,200.00,83,true
1200,0,2,SUMPF,2.000,1.631,2.000,200.00,85,true
1200,0,3,GRASLAND,2.000,1.631,1.303,200.00,75,true
1200,0,4,WÜSTE,2.000,1.100,1.303,43.81,7,true
1200,0,5,VULKAN,1.875,1.681,1.826,90.83,1,true
1200,0,6,WÜSTE,1.438,2.000,0.931,90.14,2,true
1200,0,7,SUMPF,1.438,2.000,1.546,168.16,72,true
1200,0,8,SUMPF,1.042,2.000,1.127,200.00,668,true
1200,0,9,GRASLAND,1.438,2.000,1.018,200.00,139,true
1200,0,10,VULKAN,1.969,2.000,0.592,65.60,4,true
1200,0,11,TUNDRA,1.438,2.000,1.018,1.56,136,true
1200,0,12,WÜSTE,1.438,2.000,1.018,151.72,131,true
1200,0,13,TUNDRA,1.383,2.000,1.473,84.65,58,true
1200,0,14,WÜSTE,0.564,2.000,0.636,56.60,7,true
1200,0,15,SUMPF,0.564,2.000,0.636,114.80,21,true
1200,0,16,TUNDRA,0.564,2.000,0.735,53.35,42,true
1200,0,17,OZEAN,0.500,2.000,0.500,200.00,279,true
1200,0,18,OZEAN,0.500,2.000,0.534,56.06,99,true
1200,0,19,VULKAN,0.805,2.000,0.807,182.80,344,true
1200,0,20,VULKAN,0.500,1.807,0.500,10.62,10,true
1200,0,21,WALD,0.500,1.807,0.547,150.00,99,true
1200,0,22,TUNDRA,0.500,1.976,0.500,66.22,23,true
1200,0,23,TUNDRA,0.643,2.000,2.000,84.19,46,true
1200,0,24,SUMPF,0.643,2.000,2.000,69.08,34,true
1200,0,26,TUNDRA,0.643,2.000,1.512,66.77,115,true
1200,0,27,OZEAN,0.643,2.000,1.512,200.00,130,true
1200,0,28,WALD,0.500,1.677,1.538,200.00,29,true
1200,0,29,WALD,0.500,1.274,1.538,200.00,215,true
1200,0,30,GEBIRGE,2.000,1.242,1.796,90.13,5,true
1200,0,31,WÜSTE,2.000,2.000,1.541,1.52,49,true
1200,0,32,WALD,2.000,2.000,0.987,200.00,320,true
1200,0,33,WÜSTE,1.835,1.951,1.541,28.39,24,true
1200,0,34,OZEAN,0.741,2.000,1.993,200.00,446,true
1200,0,35,WÜSTE,1.200,2.000,1.188,78.24,4,true
1200,0,36,WALD,1.235,1.357,1.009,200.00,1111,true
